"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Table 2.3a   Generation (MWh) by plant and prime mover, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK PLANT ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,0,1983.991,0,0,0,0,0,1983.991,PCE,12,Adak,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0,443.28599999999994,28.071999999999999,0,0,0,0,471.35800000000006,PCE,12,Akutan,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,0,67.614999999999995,285.25800000000004,0,0,0,0,352.87300000000005,PCE,19,Atka,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0,2359.44,0,0,0,0,0,2359.44,PCE,12,Cold Bay,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0,759.0859999999999,0,0,0,0,0,759.0859999999999,PCE,12,False Pass,NA
P177,289,City of King Cove,King Cove,King Cove_grid,Aleutians,0,597,3617.0000000000005,0,0,0,0,4214,EIA923,24,King Cove,NA
P287,0,Peter Pan Seafoods,King Cove,King Cove_grid,Aleutians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,King Cove,No Data
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0,293.84300000000002,0,0,0,0,0,293.84300000000002,PCE,12,Nelson Lagoon,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0,183.66300000000001,0,0,0,0,0,183.66300000000001,PCE,12,Nikolski,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,0,527.947,0,0,0,0,0,527.947,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,3042.3150000000001,0,0,0,0,0,3042.3150000000001,PCE,12,Saint Paul,NA
P252,749,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0,3265.1080000000002,0,0,0,0,0,3265.1080000000002,PCE,12,Sand Point,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,0,42197,0,0,0,0,0,42197,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,0,2587.2000000000003,0,0,0,0,0,2587.2000000000003,EIA923,12,Unalaska,NA
