AEA_operator Id,PCE_utility_code,eia_operator_id,CPCN...4,Operator_name,sector__id,sector__name,sector__number,operator_rca_regulatory_status_name,operator_utility_certificate,operator__utility_type_name,operator_cpcn_status,pce_eligible,Power Generation End Use,Notes,CPCN...16,...17,...18,OPERATOR_AEA Operator ID,OPERATOR_Operator Name
AEA-121,NA,179,NA,Agrium US Inc,4,Industrial NAICS Cogen,7,N/A,FALSE,Industrial,N/A,FALSE,Consumed by facility,NA,0,NA,NA,NA,NA
AEA-001,AKHI,NA,449,"Akhiok, City of",1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,449,NA,NA,NA,NA
AEA-003,AKIANCE,192,412,Akiachak Native Community,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,412,NA,NA,NA,NA
AEA-002,AKIA,NA,635,Akiak City Council,1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,635,NA,NA,NA,NA
AEA-004,AKUT,24486,293,"Akutan, City of",1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,293,NA,NA,NA,NA
AEA-112,NA,49803,640,Alaska Electric & Energy Coop,1,Electric Utility,1,Regulated,TRUE,Electric Co-op,Active,FALSE,Wholesale,NA,640,NA,NA,NA,NA
AEA-140,NA,288,345,"Alaska Electric Generation & Transmission Cooperative, Inc.",1,Electric Utility,1,Regulated,TRUE,Private Electric Utility,Active,FALSE,Wholesale,NA,345,NA,NA,NA,NA
AEA-170,NA,288,345,"Alaska Electric Generation & Transmission Cooperative, Inc.",1,Electric Utility,1,Regulated,TRUE,Private Electric Utility,Active,FALSE,Wholesale,NA,345,NA,NA,NA,NA
AEA-133,NA,213,1,Alaska Electric Light & Power Company,1,Electric Utility,1,Regulated,TRUE,Private Electric Utility,Active,FALSE,Retail,NA,1,NA,NA,NA,NA
AEA-129,NA,42889,NA,Alaska Energy Authority,NA,NA,NA,N/A,FALSE,Political Subdivision of the State,N/A,FALSE,Wholesale,NA,0,NA,NA,NA,NA
AEA-113,NA,58488,742,Alaska Environmental Power,7,NAICS-22 Non-Cogen,2,Regulated,TRUE,Independent Power Producer,Active,FALSE,Wholesale,NA,742,NA,NA,NA,NA
AEA-141,NA,NA,523,Alaska Industrial Development & Export Authority,1,Electric Utility,1,Unregulated,TRUE,Political Subdivision of the State,Active,FALSE,Wholesale,NA,523,NA,NA,NA,NA
AEA-142,NA,NA,549,Alaska Industrial Development & Export Authority,1,Electric Utility,1,Unregulated,TRUE,Political Subdivision of the State,Active,FALSE,Wholesale,NA,549,NA,NA,NA,NA
AEA-005,ALASPCA,219,2,Alaska Power & Telephone Company,1,Electric Utility,1,Regulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,2,NA,NA,NA,NA
AEA-006,ALASVEC,221,169,Alaska Village Electric Cooperative,1,Electric Utility,1,Unregulated,TRUE,Electric Co-op,Active,TRUE,Retail,NA,169,NA,NA,NA,NA
