"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Revenue by  Operators/Utilities ($000) by AEA Energy Regions, 2014",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,4356.8148824999989,21259.898798333339,5230.3561983333329,30847.069879166665,2.8678932451470329
Bering Straits,7973.3388675000006,8404.5605708333333,5990.7998749999997,22368.699313333331,2.0796478211617675
Bristol Bay,7733.3724224999987,15673.365647499997,6265.3319516666661,29672.070021666659,2.758651940622066
Copper River/Chugach,6840.4833316666663,22270.541487499995,2249.754715,31360.779534166672,2.915653517202446
Kodiak,6405.5571300000001,4186.1357049999997,14144.741459999999,24736.434295000003,2.2997793016174284
Lower Yukon-Kuskokwim,15121.337136666665,12395.35483416667,11283.0895325,38799.781503333332,3.6072674559518494
North Slope,2297.7320299999997,21481.996429999999,205.72827999999998,23985.456739999998,2.2299599163183368
Northwest Arctic,6947.5764433333334,6237.6344175000004,4693.0248408333327,17878.235701666668,1.6621634276708004
Railbelt,283068.59999999998,290981.90000000002,157343.1,731393.6,67.998638872355571
Southeast,41774.281515333336,41283.110809666665,21671.23578483333,104728.62810983336,9.7367602921843801
Yukon-Koyukuk/Upper Tanana,7384.5627066666657,6624.514073333331,5820.5214950000009,19829.598275000004,1.8435842097683248
Total,389903.65646616661,450799.01277383341,234897.68413316665,1075600.3533731666,100
Percent of Total,36.249863180445999,41.911385707534635,21.838751112019363,100,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
