"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Net Generation by Fuel Type by Operators/Utilities in Alaska (GWh), 1963-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Notes,Statewide Total,Oil,NA,Gas,NA,Coal,NA,Hydro,NA,Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Net Generation,% of Statewide Total,Net Generation,% of Statewide Total,Net Generation,% of Statewide Total,Net Generation,% of Statewide Total,Net Generation,% of Statewide Total,NA,NA,NA,NA,NA,NA,NA,NA
1963,"1,b",NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"1,b",NA,NA,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"1,b",NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"1,b",NA,NA,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"1,b",NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"1,b",NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"1,b",NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"1,b",NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"1,b",1071,195,0.18207282913165265,614,0.5732959850606909,262,0.24463118580765639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"1,a",1207,193,0.15990057995028997,748,0.61971830985915488,266,0.22038111019055509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"1,a",1406,189,0.13442389758179232,950,0.67567567567567566,267,0.18990042674253202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
