"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Customers by Operators/Utilities (Accounts) by AEA Energy Regions, 2014",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,1734,709,359,2788,0.84118042837445195
Bering Straits,3390,580,490,4327,1.3055192659886132
Bristol Bay,3152,1077,571,4735,1.4286188408726794
Copper River/Chugach,4214,1689,154,5861,1.7683495303811561
Kodiak,5001,1139,150,6288,1.8971816835073725
Lower Yukon-Kuskokwim,6736,1834,781,9215,2.7803004474428175
North Slope,2228,966,44,3239,0.97725373296443685
Northwest Arctic,2094,276,273,2588,0.78083749950971371
Railbelt,215328,29979,538,245845,74.175036733757949
Southeast,32463,8666,800,41876,12.634602445698906
Yukon-Koyukuk/Upper Tanana,3393,762,604,4677,1.4111193915019054
Total,279733,47677,4764,331439,100
Percent of Total,84.399542600599204,14.384849097420641,1.4373685655580666,100,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
