"Early Release, Subject to Revision",...2,...3,...4,...5
"Table 1.a   Communities Participating in Power Cost Equalization Program, by AEA Energy Region, 2021",NA,NA,NA,NA
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program
Aleutians,11,1,0,0.91666666666666663
Bering Straits,16,0,0,1
Bristol Bay,26,1,0,0.96296296296296291
Copper River/Chugach,8,0,15,1
Kodiak,4,1,5,0.8
Lower Yukon-Kuskokwim,46,2,0,0.95833333333333337
North Slope,7,0,2,1
Northwest Arctic,11,0,0,1
Railbelt,0,0,95,NA
Southeast,22,0,6,1
Yukon-Koyukuk/Upper Tanana,41,1,1,0.97619047619047616
Total,192,6,124,NA
"Some utilities, both in urban and rural Alaska, serve multiple communities.",NA,NA,NA,NA
