Listing from LOOKUP OPERATOR Tab,...2,CPCN listing from Regulatory Commission of Alaska,...4,...5,...6,...7,...8
NA,NA,https://rca.alaska.gov/RCAWeb/RCALibrary/SearchResults.aspx?t=cert&p=rcareport&cert=&entity=&utiltype=,NA,NA,NA,NA,NA
NA,NA,accessed 7/30/23,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
Stats CPCN,Operator_name,Certificate Number,Certificate Type,Entity,Certificate Name,Utility Type,Certificate Status
1,Alaska Electric Light & Power Company,1,CPCN,AEL&P,ALASKA ELECTRIC LIGHT & POWER COMPANY,Electric,Active
2,Alaska Power & Telephone Company,2,CPCN,APC,ALASKA POWER COMPANY,Electric,Active
5,Aniak Light & Power,5,CPCN,ALPC,"ANIAK LIGHT AND POWER COMPANY, INC.",Electric,Active
8,Chugach Electric Assn Inc,8,CPCN,Chugach,"Chugach Electric Association, Inc.",Electric,Active
10,"Copper Valley Elec Assn, Inc",10,CPCN,CVEA,"Copper Valley Electric Association, Inc.",Electric,Active
13,Golden Valley Elec Assn Inc,13,CPCN,GVEA,"Golden Valley Electric Association, Inc.",Electric,Active
16,Kodiak Electric Assn Inc,16,CPCN,KEA,"KODIAK ELECTRIC ASSOCIATION, INC.",Electric,Active
17,Kotzebue Electric Association,17,CPCN,KOTZEBUE,"Kotzebue Electric Association, Inc.",Electric,Active
18,Matanuska Electric Assn Inc,18,CPCN,MEA,"Matanuska Electric Association, Inc.",Electric,Active
22,Naknek Electric Association,22,CPCN,NEA,"Naknek Electric Association, Inc.",Electric,Active
24,Pelican Utility,24,CPCN,Pelican,City of Pelican,Electric,Active
32,Homer Electric Assn Inc,32,CPCN,HEA,"Homer Electric Association, Inc.",Electric,Active
43,Bethel Utilities Corp,NA,NA,NA,NA,NA,NA
44,Mcgrath Light & Power,44,CPCN,MLPC,McGrath Light & Power Company,Electric,Active
45,Nushagak Electric Cooperative,45,CPCN,NA,"Nushagak Electric & Telephone Cooperative, Inc. (Electric)",Electric,Active
53,Yakutat Power Inc,NA,NA,NA,NA,NA,NA
59,"Weldon S. Holmes, d/b/a Semloh Supply",59,CPCN,SEMLOH,"Weldon S. Holmes, d/b/a Semloh Supply",Electric,Active
61,Teller Power Company,NA,NA,NA,NA,NA,NA
63,Gwitchyaa Zhee Utilities Company,63,CPCN,GZUC,Gwitchyaa Zhee Utility Company,Electric,Active
71,Weisner Trading Co.,71,CPCN,WEISNER,Weisner Trading Co.,Electric,Active
72,TDX Manley Generating LLC,72,CPCN,TMG,"TDX Manley Generating, LLC",Electric,Active
88,G & K Inc,88,CPCN,G&K,"G & K, Inc.",Electric,Active
91,Paxson Inn & Lodge,91,CPCN,PAXSON,"Paxson Lodge, Inc.",Electric,Active
92,Tanana Power Company Inc,92,CPCN,TPC,"TANANA POWER COMPANY, INC.",Electric,Active
100,"Sitka, City & Borough of",100,CPCN,SITKA,City and Borough of Sitka,Electric,Active
NA,NA,103,CPCN,KETCHIKAN,City of Ketchikan,Electric,Active
103,Ketchikan Public Utilities,103,CPCN,KPU-LD,City of Ketchikan,Electric,Active
106,"Unalaska, City of",106,CPCN,UNALASKA,City of Unalaska,Electric,Active
108,City of Seward - (AK),108,CPCN,SEWARD,The City of Seward,Electric,Active
111,"Wrangell, City of",111,CPCN,WRANGELL,City of Wrangell,Electric,Active
121,Anchorage Municipal Light and Power,121,CPCN,Chugach,"Chugach Electric Association, Inc.",Electric,Active
NA,NA,121,CPCN,ML&P,"Chugach Electric Association, Inc.",Electric,Active
150,Nome Joint Utility Systems,150,CPCN,NOME,Nome Joint Utility System,Electric,Active
