"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Average Annual Energy Use and Rates by Customer Type for Certificated Utilities in Alaska (kWh/Customer, $/Customer, $/kWh), 1963-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Residential,NA,NA,Commercial*,NA,NA,Other,NA,NA
NA,Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents),Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents),Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents)
1962,4987.0105771015033,203.51642234180738,4.0809302325581394,28084.392902053936,1091.5187927902753,3.886567164179104,NA,NA,3.5958333333333337
1963,5039.036311338913,184.97372348017907,3.6708154506437767,34261.241970021416,1151.3650963597431,3.3605468749999998,NA,NA,3.3592592592592592
1964,5125.8154706430569,177.51934843389117,3.4632411067193676,35754.752612363081,1146.2923328717109,3.205985915492958,NA,NA,3.6999999999999997
1965,5383.2400497512435,190.24020522388059,3.5339350180505416,38518.518518518518,1241.9753086419753,3.224358974358974,NA,NA,3.7111111111111108
1966,5824.7947865203096,202.7720640535189,3.4811881188118816,44019.728729963004,1362.3921085080149,3.0949579831932774,NA,NA,3.591176470588235
1967,6468.7621986356116,218.19060542409426,3.3729885057471263,44911.55524925339,1374.3395359522169,3.0601023017902813,NA,NA,3.1063829787234045
1968,6547.171836428035,219.75957926371152,3.3565573770491803,45374.254802384632,1366.8580260543167,3.0124087591240878,NA,NA,2.8046875
1969,6953.8246035319426,217.58633915320092,3.1290167865707437,49385.310497005354,1391.6150047283809,2.8178723404255321,NA,NA,2.8217391304347825
1970,7266.0791299456214,218.99806237889868,3.0139784946236561,51928.332827209233,1476.9713533758477,2.8442495126705656,NA,NA,2.6960526315789473
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,10149.324595425973,343.15233382372611,NA,NA,NA,NA,NA,NA,NA
1976,10238.357693869264,394.37677628907835,3.8,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,10309.272442571875,529.17009701841903,5.0999999999999996,77312.32935381979,3830.8260613523207,5,NA,NA,NA
1981,9943.4955121537805,590.96267190569745,5.9,77705.590062111791,4651.5010351966866,6,NA,NA,NA
1982,10372.901704210444,711.57712280402643,6.9,80722.280434368455,5336.8260621070685,6.6,NA,NA,NA
1983,9807.3189816281792,786.92955852016632,8,80701.02856093306,5793.8745523004873,7.2,NA,NA,NA
1984,9319.9037953892184,788.53170645861439,8.5,77067.955263797718,5986.4251560094017,7.8,NA,NA,NA
1985,9654.6375858839128,828.7575121153767,14.3,73573,5714,9.1999999999999993,NA,NA,NA
1986,8460.9272010126006,781.78160828987245,14.8,72749,5776,9.5,64153.033652665188,7495.4556619995083,18.600000000000001
1987,8016.4913411363586,784.78617908151591,10.6,72104.43992654774,5901.4952780692556,9.6999999999999993,51530.947255113024,6780.6781485468246,18.100000000000001
1988,8236.5648050579566,803.74338803743387,10.6,71538.648517258145,5843.3641225085075,9.6,52191.627490485786,7152.227445713007,19.100000000000001
1989,8478.9631271951184,826.55587903150604,10.7,71919.111739563581,6050.968923739435,9.9,61323.924425221943,7757.3412246756207,16.3
