Data element,Description
All tables,NA
Data Source,"The term ""EIA data"" refers to records generated by utilities and operators reporting to the Energy Information Administration (EIA) through Form 923, Form 860, Form 861, and Form 861S. The term ""PCE data"" refers to records generated by utilities reporting to the Alask Power Cost Equalization Program (PCE)."
AEA Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab."
Aleutians,"Aleutians East Borough, Aleutians West Census Area"
Bering Straits,Nome Census Area
Bristol Bay,"Bristol Bay Borough, Dillingham Census Area, Lake and Peninsula Borough"
Copper River/Chugach,"Chugach Census Area, Copper River Census Area"
Kodiak,Kodiak Island Borough
Lower Yukon-Kuskokwim,"Bethel Census Area, Kusilvak Census Area"
North Slope,North Slope Borough
Northwest Arctic,Northwest Arctic Borough
Railbelt,"Anchorage Municipality, Denali Borough,  Fairbanks North Star Borough, Kenai Peninsula Borough, Matanuska-Susitna Borough, Southeast Fairbanks Census Area (part), Yukon-Koyukuk Census Area (small part). This region is named for its general proximity to the Alaska Railroad route. The Railbelt region is largely interconnected."
Southeast,"Haines Borough, Hoonah-Angoon Census Area, Juneau City and Borough, Ketchikan Gateway Borough, Petersburg Borough, Prince of Wales-Hyder Census Area, Sitka City and Borough, Skagway Municipality, Wrangell City and Borough, Yakutat City and Borough"
Yukon-Koyukuk/Upper Tanana,"Southeast Fairbanks Census Area (most), Yukon-Koyukuk Census Area"
NA,NA
NA,NA
"Table 1.a   Communities Participating in Power Cost Equalization Program, by AEA Energy Region, 2021",NA
PCE Eligible Active,Number of communities eligible and participating in the Alaska Power Cost Equalization Program (PCE)
PCE Eligible Inactive,Number of communities eligible (under program criteria) but not participating
PCE Ineligible,Number of communities not eligible to participate in PCE
NA,NA
"Table 1.b   Distribution of Rates in PCE Communities ($/kWh), 2021",NA
Average Residential Rate,Average amount billed to the residential customer per PCE-eligible kWh
Average PCE Rate,"Average subsidy per PCE-eligible kWh, applied as a credit on the customer's bill"
Effective Rate,"Rate paid by customer for an eligible kWh after applying the Average PCE Rate as a credit against the ""Average Residential Rate"""
NA,NA
"Table 1.c   Average Consumption per Residential Customer per Month in PCE Communities, 2021",NA
Effective Rate,"Rate paid by customer for an eligible kWh after applying the Average PCE Rate as a credit against the ""Average Residential Rate"""
Average Percentage of Residential Consumption Eligible for PCE,"In 2021, up to 500 kWh per residential customer per month were eligible for PCE subsidy. Consumption greater than this limit was not subsidized. The limit was changed to 750 kWh per month in 2022."
NA,NA
"Table 1.d   Installed Capacity (MW) of Utilities & Operators, by AEA Energy Region, 2021",NA
Table 1.d is aggregated from Table 2.1a,NA
Fossil Fuel Turbine,"Installed capacity fueled by fossil fuels and using prime movers of types: CA=Combined Cycle, steam part; CT=Combined Cycle, turbine part; GT=Gas Turbine, ST=Steam Turbine. See Table 2.3c, below, for complete listing of prime mover codes."
Reciprocating Internal Combustion,Installed capacity using prime mover of type: IC=Internal Combustion Engine
Hydroelectric,"Installed capacity using prime movers of type: HY=Hydraulic Turbine; [HA, HB, HC]=Hydrokinetic"
Wind,"Installed capacity using prime movers of type: WT=Wind Turbine, onshore; WS=Wind Turbine, offshore"
Solar,Installed capacity using prime movers of type: PV=Photovoltaic. Does not include customer-side (BTM) PV capacity.
Storage,"Installed capacity using prime movers of type: BA=Energy Storage, Battery; FW=Energy Storage, Flywheel. This category also includes type PS=Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) for which there are no installations in Alaska in 2021."
NA,NA
Table 1.bonus   Net Metered Solar Capacity,NA
Net Metered Capacity,Railbelt utilities allow for customers to install net-metered capacity up to specified overall limits that vary by service terriory
Installed Capacity (kW),Total installed capacity (AC basis) of net-metered solar PV
Additions,Change in capacity from previous year
Cumulative CAGR,Compound average annual growth rate of installed capacity from year 2010 to year t
Y/Y growth,Percentage change in capacity from previous year
Estimated energy (MWh),Estimated annual energy output calculated as (Installed Capacity)*8766*(Capacity factor)
for more information:,https://www.uaf.edu/acep/files/research/solar-tech/2023NetMeteringUpdate_Final.pdf
NA,NA
"Table 1.e   Carbon Dioxide Emissions by Operators/Utilities (Metric Tons), by fuel type and AEA Energy Region, 2021",NA
Table 1.e is aggregated from Table 2.4a,"One metric ton = 1,000 kilograms"
Oil,"CO2 emissions from Diesel/Distillate (EIA type DFO), Naphtha (EIA type WO), and Jet fuel (EIA type JF)"
Gas,CO2 emissions from Natural Gas (EIA fuel type NG) and Landfill gas (EIA type LFG)
Coal,"CO2 emissions from Subbituminous Coal (EIA type SUB), Lignite (EIA type LIG), Waste Coal (EIA type WC)"
NA,NA
"Table 1.f   Generation by Fuel Type by Operators/Utilities (MWh), by AEA Energy Region, 2021",NA
Table 1.f is aggregated from Table 2.3b,NA
Oil,"Generation from Diesel/Distillate (EIA type DFO), Naphtha (EIA type WO), and Jet fuel (EIA type JF)"
Gas,Generation from Natural Gas (EIA fuel type NG) and Landfill gas (EIA type LFG)
Coal,"Generation from Subbituminous Coal (EIA type SUB), Lignite (EIA type LIG), Waste Coal (EIA type WC)"
