Note:  This information cannot be updated annually because of data availability.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Non-Utility Electric Generation by Fuel Type (kW, MWh, Gal, Mcf, Short Ton), 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Installed Capacity, kW","Net Generation, MWh",NA,NA,NA,NA,Fuel Use,NA,NA,NA,NA
NA,NA,NA,Number of Generators,NA,Turbine,NA,NA,Reciprocating IC Engine,NA,NA,NA,NA,NA,NA
NA,Category,Facility Name,NA,NA,Diesel,Natural Gas,Coal,Diesel,Natural Gas,Diesel (Gal),Natural Gas (Mcf),Coal (Short Ton),Source,Data Year
NA,Oil & Gas,Alyeska Pipeline Service Company,53,214065.36879999994,16113.482107956748,317103.71279982035,NA,5081.2764323489546,NA,1569282,3431313.2068216419,NA,AIRTOOLS,2011
NA,NA,BP Exploration (Alaska) Inc.,108,505209.70079999988,831.68738069606661,2414568.9937847112,NA,31883.496330660157,NA,2422266.2800000003,26127548,NA,AIRTOOLS,2011
NA,NA,"ConocoPhillips Alaska, Inc.",49,207968.02979999987,112.01760286388389,913799.72207321553,NA,1422.9594511594498,6237.0667691637254,113651.3,9955526.4000000004,NA,AIRTOOLS,2011
NA,NA,"Cook Inlet Energy, LLC",2,11304,NA,20331.229652037629,NA,NA,NA,NA,220000,NA,AIRTOOLS,2011
NA,NA,Eni US Operating Co. Inc.,12,54460.5533,NA,87160.813250407446,NA,10188.308850260966,NA,754353,943149,NA,AIRTOOLS,2011
NA,NA,"Flint Hills Resources Alaska, LLC",2,14655.000000000002,NA,NA,NA,NA,17.661444771310467,NA,191.11081406229113,NA,AIRTOOLS,2011
NA,NA,"Halliburton Energy Services, Inc.",2,1712.1272000000001,NA,NA,NA,NA,450.71422124313244,NA,4877.0846805889796,NA,AIRTOOLS,2011
NA,NA,"Hilcorp Alaska, LLC (formerly Marathon Alaska Production LLC )",46,87944.475880000027,NA,134598.41455785561,NA,1257.9536688726316,207311.29975426861,93140.949999999983,3699733.7807911993,NA,AIRTOOLS,2011
NA,NA,"Petro Star, Inc.",1,500,NA,NA,NA,5.7130476629116451,NA,423,NA,NA,AIRTOOLS,2011
NA,NA,"Pioneer Natural Resources Alaska, Inc.",11,28398.108899999999,NA,67555.131252906853,NA,1216.9466823143991,NA,90104,731000,NA,AIRTOOLS,2011
NA,NA,Savant Alaska LLC,4,14949.197999999999,NA,34537.565473782633,NA,259.7117066368848,NA,19229.325290000001,373723.8,NA,AIRTOOLS,2011
NA,NA,"XTO Energy, Inc.",11,7547.2297000000008,NA,29187.328459104749,NA,NA,675349.8485261529,NA,7623650,NA,AIRTOOLS,2011
NA,NA,Tesoro Alaska Co,2,8000,13,39793.288,NA,NA,NA,1596,39793.288,NA,EIA,2012
NA,NA,TDX North Slope Generating Inc.,9,19100,NA,35559,NA,NA,35559,NA,71118,NA,EIA,2012
NA,Military,Doyon Utilities - Fort Greely,4,7400,NA,NA,NA,NA,NA,12894,NA,NA,EIA,2012
NA,NA,Doyon Utilities - JBER,11,14900,790,NA,NA,NA,NA,58700,NA,NA,AIRTOOLS,2011
NA,NA,Doyon Utilities - Fort Wainwright,5,22500,NA,NA,149725.18,NA,NA,NA,NA,57585,EIA,2012
NA,NA,Missile Defense Agency - Fort Greely,12,20056,2810,NA,NA,NA,NA,208080,NA,NA,AIRTOOLS,2011
NA,NA,U S Air Force-Eielson AFB,10,33500,174,NA,72445,NA,NA,14700,NA,27030,EIA,2012
NA,NA,US Air Force - Clear Air Force Station,7,2523,31,NA,NA,NA,NA,2263,NA,NA,AIRTOOLS,2011
NA,NA,US Air Force - Eareckson Air Station Shemya Island,15,18168,15132,NA,NA,NA,NA,1120418,NA,NA,AIRTOOLS,2011
NA,NA,US Air Force - Elmendorf AFB,10,2862,602000,NA,NA,NA,NA,44603,NA,NA,AIRTOOLS,2011
NA,NA,US Air Force - HAARP Research Site,5,13423,2273,NA,NA,NA,NA,168326,NA,NA,AIRTOOLS,2011
NA,NA,US Army - Fort Wainwright,3,2700,37,NA,NA,NA,NA,2772,NA,NA,AIRTOOLS,2011
NA,Seafood,Alyeska Seafoods Inc.,6,5682,NA,NA,NA,11194.885720760914,NA,828881,NA,NA,AIRTOOLS,2011
