Bradley Lake generation - Reporting to EIA is based on ownership of the generating plant or who operates the plant depending on the survey form. The Alaska Energy Authority owns Bradley Lake; however it is operated by Homer Electric Association.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
"If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet. 
Blank cells indicate missing values.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sources: EIA Form 923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Table 2.3b  Net Generation by Fuel Type by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Oil (gallons),Gas (Mcf),Coal (Short Tons),Source,Notes,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
Akiachak Native Community,Akiachak,Akiachak,1851.5340000000001,0,0,0,0,141170,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,Akiak,1029.5309999999999,0,0,0,0,86993,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,Akutan,489.57059999999996,0,0,42.110999999999997,0,45345,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Annex Creek,Juneau,0,0,0,22270,0,0,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Auke Bay,Juneau,1119,0,0,0,0,140910,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Gold Creek,Juneau,23,0,0,4838,0,1218,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,0,0,0,70602,0,0,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,2283,0,0,0,0,252504,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,0,0,0,24337,0,0,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Snettisham,Juneau,0,0,0,263749,0,0,0,0,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Environmental LLC,Alaska Environmental,NA,0,0,0,0,1394,0,0,0,EIA,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",655.36800000000005,0,0,0,0,57040,0,0,PCE,Provides power to Alatna via intertie. Data includes Alatna's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",573.84500000000003,0,0,0,0,49487,0,0,PCE,Provides power to Evansville via intertie. Data includes Evansville's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,Chistochina,-2.1480000000000001,0,0,0,0,50.999999999999993,0,0,PCE,Receives power from Slana via intertie.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,632.58299999999997,0,0,0,0,48370,0,0,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,"Craig, Klawock",2779,0,0,0,0,206178,0,0,EIA,"Part of the Alaska Power Company's grid on Prince of Wales Island. Provides to Hollis, Hydaburg, Klawock, Thorne Bay and Kaasan.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Viking,Craig,65,0,0,0,0,7434,0,0,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Black Bear Lake,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",0,0,0,17791,0,0,0,0,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,South Fork,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",0,0,0,6115,0,0,0,0,EIA,Receives power from Craig via intertie.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Dot Lake, Dot Lake Village",-0.6,0,0,0,0,0,0,0,PCE,"Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",749.74199999999996,0,0,0,0,54362,0,0,PCE,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Goat Lake,"Haines, Covenant Life, Skagway",0,0,0,15831,0,0,0,0,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Haines,Haines,185,0,0,0,0,36885,0,0,"EIA, PCE",Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Skagway,Skagway,95,0,0,3000.12,0,14928,0,0,"EIA, PCE",Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,Healy Lake,83.3,0,0,0,0,9100,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,Hollis,-12.348000000000001,0,0,0,0,0,0,0,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Hydaburg,Hydaburg,23,0,0,0,0,3864,0,0,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,237.108,0,0,0,0,19779,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,449.90800000000002,0,0,0,0,37322,0,0,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",1286,0,0,0,0,98616,0,0,EIA,Provides power to Northway Village via intertie. Data includes Northway Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,0,0,0,7965,0,0,0,0,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",1150.4580000000001,0,0,0,0,94630,0,0,PCE,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Tok,Tetlin,0,0,0,0,0,0,0,0,PCE,Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",929,0,0,0,0,67956,0,0,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",119,0,0,0,0,13692,0,0,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",10400,0,0,0,0,751919,0,0,PCE,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,Whale Pass,267.04199999999997,0,0,0,0,23384.000000000004,0,0,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,1946.2080000000001,0,0,0,0,152732,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,Ambler,1277.7739999999999,0,0,0,0,95531.000000000015,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,Anvik,405.42,0,0,0,0,33807,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,1176.3320000000001,0,0,0,0,89023,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,Chevak,1657.2670000000001,0,0,0,741.62900000000002,132277,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,Eek,800.57799999999997,0,0,0,0,58323,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Ekwok,Ekwok,261.51549999999997,0,0,0,0,23205.817999999999,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Elim,Elim,1159.4449999999999,0,0,0,0,81625,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,Emmonak,3089.884,0,0,0,80.325000000000003,226911,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
