"Source: Mathematical estimates based on EIA Form 861 or rates reported by the utility to the PCE program.
If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
"Average Residential Rates and PCE Payments ($/kWh) for PCE Communities Only, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Community Name,Number of communities,Residential Rate ($/kWh),PCE reimbursment rate ($/kWh),Residential Rate after PCE ($/kWh),Percent PCE reimbursment,Source,PCE Community,NA,NA,NA,NA,NA
Native Village of Perryville,Perryville,1,0.95,0.24371667,0.70628332999999999,0.25654386315789474,PCE,YES,NA,NA,NA,Row Labels,Count of Community Name
Port Heiden Utilities,Port Heiden,1,0.75,0.2107,0.5393,0.28093333333333331,PCE,YES,NA,NA,NA,"Akhiok, City of",1
TDX Manley Generating LLC,Manley Hot Springs,1,0.67374166999999996,0.21681666999999999,0.45692499999999997,0.32180979692112555,PCE,YES,NA,NA,NA,Akiachak Native Community,1
Pedro Bay Village Council,Pedro Bay,1,0.91,0.459675,0.45032500000000003,0.50513736263736264,PCE,YES,NA,NA,NA,Akiak City Council,1
Takotna Community Assoc Inc,Takotna,1,1.022,0.57379999999999998,0.44820000000000004,0.56144814090019568,PCE,YES,NA,NA,NA,"Akutan, City of",1
Chalkyitsik Village Council,Chalkyitsik,1,0.95,0.50636667000000002,0.44363332999999994,0.53301754736842111,PCE,YES,NA,NA,NA,Alaska Electric Light & Power Company,2
Tuntutuliak Community,Tuntutuliak,1,0.65,0.25725832999999998,0.39274167000000004,0.3957820461538461,PCE,YES,NA,NA,NA,Alaska Power & Telephone Company,34
Igiugig Electric Company,Igiugig,1,0.80300000000000005,0.41439999999999999,0.38860000000000006,0.51606475716064748,PCE,YES,NA,NA,NA,Alaska Village Electric Cooperative,54
Kobuk Valley Electric Company,Kobuk,1,0.87,0.48177500000000001,0.38822499999999999,0.55376436781609195,PCE,YES,NA,NA,NA,Alutiiq Power Company,1
"Ruby, City of",Ruby,1,0.84,0.45610833000000001,0.38389166999999996,0.54298610714285722,PCE,YES,NA,NA,NA,"Anchorage Municipal Light & Power, Chugach Electric Assn Inc",1
Elfin Cove Utility Commission,Elfin Cove,1,0.74601667000000005,0.36607499999999998,0.37994167000000006,0.49070619293265921,PCE,YES,NA,NA,NA,Aniak Light & Power,1
Kokhanok Village Council,Kokhanok,1,0.9,0.52652500000000002,0.373475,0.58502777777777781,PCE,YES,NA,NA,NA,Arctic Village Electric Company,1
"White Mountain, City of",White Mountain,1,0.68666667000000003,0.32996667000000002,0.35670000000000002,0.48053398310420398,PCE,YES,NA,NA,NA,"Atka, City of",1
Atmautluak Tribal Utilities,Atmautluak,1,0.6986,0.36183333000000001,0.33676666999999999,0.51794063841969651,PCE,YES,NA,NA,NA,Atmautluak Tribal Utilities,1
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton",3,0.59402500000000003,0.26124999999999998,0.33277500000000004,0.43979630486932364,PCE,YES,NA,NA,NA,Barrow Utilities & Electric Cooperative Inc.,1
Nelson Lagoon Electrical Coop,Nelson Lagoon,1,0.76500000000000001,0.43794167000000001,0.32705833000000001,0.57247277124183005,PCE,YES,NA,NA,NA,Beaver Joint Utilities,1
Egegik Light & Power Co,Egegik,1,0.86,0.53453333000000003,0.32546666999999996,0.6215503837209303,PCE,YES,NA,NA,NA,Bethel Utilities Corporation,2
"Tenakee Springs, City of",Tenakee Springs,1,0.68833332999999997,0.37343333000000001,0.31489999999999996,0.54251815759088695,PCE,YES,NA,NA,NA,Birch Creek Village Electric,1
Ungusraq Power Company,Newtok,1,0.8,0.48654999999999998,0.31345000000000006,0.60818749999999999,PCE,YES,NA,NA,NA,"Buckland, City of",1
