"Table 1.a   Communities Participating in Power Cost Equalization Program, 2011",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,"Table 1.c   Average Consumption per Residential Customer per Month in PCE communities, 2011",...14,...15,...16,...17
by AEA Energy Regions,NA,NA,NA,NA,NA,"Table 1.b   Communities and Rates ($/kWh), 2011",NA,NA,NA,NA,NA,Summer 2011 (April - September),NA,NA,NA,Average Percentage of Residential Consumption Eligible for PCE
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program,NA,Effective Rate,No. of PCE Communities,Average Residential Rate,Average PCE Rate,Average Effective Rate,NA,NA,kWh per Customer per Month,NA,NA,NA
Aleutians,12,1,0,0.92307692307692313,NA,Less than $0.19,56,0.36647471891865224,0.20493948359473504,0.16153517293755884,NA,Effective Rate,Min,Mean,Max,NA
Bering Straits,16,0,0,1,NA,$0.20 - $0.29,105,0.54154165353900852,0.31920384352881054,0.22175824801599112,NA,Less than $0.19,136,428.92416111522328,955.02803738317755,0.67822237842961286
Bristol Bay,26,1,0,0.96296296296296291,NA,$0.30 - $0.39,23,0.61478199936410971,0.28722488352326703,0.32755711584084263,NA,$0.20 - $0.29,48.886363636363633,364.02421121972111,842.6875,0.77227568733795171
Copper River/Chugach,8,0,15,1,NA,$0.40 - $0.49,4,0.69962871746326538,0.26606155719054692,0.43356717531454975,NA,$0.30 - $0.39,124.72357723577235,310.34640314264669,590.70000000000005,0.7454909093526958
Kodiak,4,1,5,0.8,NA,$0.50 - $0.59,1,0.6258456129096599,0.2496297798705692,0.55191708287400032,NA,$0.40 - $0.49,101.36585365853658,359.31114511604181,535.1614123581337,0.76169297282410797
Lower Yukon-Kuskokwim,47,1,0,0.97916666666666663,NA,More than $0.60,1,0.99999550335204668,0.27167907559819043,0.72831641412765025,NA,$0.50 - $0.59,268.83673469387753,332.9349593495935,540.29787234042556,0.80084124929794143
North Slope,7,0,2,1,NA,Total,190,NA,NA,NA,NA,More than $0.60,96.15384615384616,195.68968023255815,246.21276595744681,0.49832695185855036
Northwest Arctic,11,0,0,1,NA,All averages are weighted. Total number of communities do not match the total in Table 1.a because one community participated in the PCE program but did not reported residential rate data.,NA,NA,NA,NA,NA,Winter 2011 (October - March),NA,NA,NA,Percentage Residential Consumption Eligible for PCE
Railbelt,0,0,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,kWh per Customer per Month,NA,NA,NA
Southeast,22,0,9,1,NA,NA,NA,NA,NA,NA,NA,Effective Rate,Min,Mean,Max,NA
Yukon-Koyukuk/Upper Tanana,38,5,2,0.88372093023255816,NA,NA,NA,NA,NA,NA,NA,$0.10 - $0.19,114.21818181818182,513.65881923455697,1079.8461538461538,0.61456203698630485
Total,191,9,128,NA,NA,NA,NA,NA,NA,NA,NA,$0.20 - $0.29,141.56402610308947,422.96018183867511,753.92857142857144,0.71097907353011069
