"(1) The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine.
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a electricity generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.  

If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
"Table 2.1a  Installed Capacity by Prime Mover by Plant by Certified Utilities (kW), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility/IPP Name,Plant Name,Community Name,"Total Capacity, kW (1)",Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Source,PCE Utility/Community,Notes,Utility Acronym,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
"Akhiok, City of",Akhiok,Akhiok,360,0,360,0,0,AEA Village Assessment,PCE Eligible Inactive,0,AKHIK,Kodiak,Kodiak Island,Koniag,SC
Akiachak Native Community,Akiachak,Akiachak,1500,0,1500,0,0,AEA Village Assessment,PCE Eligible Active,0,AKIANCE,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,Akiak,920,0,920,0,0,AEA Village Assessment,PCE Eligible Active,0,AKIA,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,Akutan,407,0,407,0,0,AEA Village Assessment,PCE Eligible Active,0,AKUT,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Annex Creek,Juneau,4000,0,0,4000,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Auke Bay,Juneau,36200,33700,2500,0,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Gold Creek,Juneau,9700,0,8100,1600,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,14300,0,0,14300,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,61700,37200,24500,0,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,8500,0,0,8500,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Snettisham,Juneau,78200,0,0,78200,0,EIA-F860,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Environmental LLC,Alaska Environmental,NA,1000,0,0,0,1012,AEA Wind Program Manager,PCE Ineligible,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.,AKENV,Railbelt,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",525,0,525,0,0,AEA Village Assessment,PCE Eligible Active,Provides power to Alatna via intertie. Data includes Alatna's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",600,0,600,0,0,AEA Village Assessment,PCE Eligible Active,Provides power to Evansville via intertie. Data includes Evansville's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,Chistochina,200,0,200,0,0,AEA Village Assessment,PCE Eligible Active,Receives power from Slana via intertie.,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,660,0,660,0,0,AEA Village Assessment,PCE Eligible Active,Part of the Alaska Power Company's grid on Prince of Wales Island.,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
