Note: this table only includes net generation from fossil fuels. Hydroelectric and wind generation are not included.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"(1) DFO=Distillate Fuel Oil, RFO=Residual Fuel Oil, JF=Jet Fuel, NA=Naphtha, NG=Natural Gas, SUB=Sub-bituminous Coal, WC=Waste Coal, HAGO=Heavy Atmospheric Gas Oil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2) CA=Combined Cycle, steam part; CT=Combined Cycle, turbine part; GT=Gas Turbine; IC=Internal Combustion Engine; ST= Steam Turbine; OT=Other.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3) Distillate Fuel Oil, Jet Fuel, Residual Fuel Oil, Naphtha and HAGO in Gallons; Natural Gas in Mcf; Sub-bituminous Coal in Short Tons. HAGO is an acronym for Heavy Atmospheric Gas Oil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(4) The PCE program does not track heat content of fuel; the value shown is the estimated heat content published by EIA for DFO.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet. 
Blank cells indicate missing values.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: EIA Form 923 or PCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Table 2.3c  Net Generation, Fuel Use, Fuel Cost and Efficiency by Certified Utilities,  2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community Name,Fuel Type(1),Prime Mover(2),Net Generation MWh,Fuel Use(3),Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu (4)",Source,Notes,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
Akiachak Native Community,Akiachak,Akiachak,DFO,IC,1851.5340000000001,141170,19763.800000000003,3.6215332999999998,13.115633633208189,0.27612339603863606,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,Akiak,DFO,IC,1029.5309999999999,86993,12179.02,4.3407333000000001,11.834641867736485,0.36678197350725716,0.14000000000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,Akutan,DFO,IC,489.57059999999996,45345,6348.3,3.3129,10.796572940787296,0.30684736889837749,0.14000000000000001,PCE,0,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,GT,1065,135996,19039.440000000002,NA,7.8311126797846997,NA,0.14000000000000001,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Auke Bay,Juneau,DFO,IC,54,4914,687.96,NA,10.989010989010989,NA,0.14000000000000001,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Gold Creek,Juneau,DFO,IC,23,1218,170.52,NA,18.883415435139572,NA,0.14000000000000001,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,GT,1274,168126,23537.640000000003,NA,7.5776500957615118,NA,0.14000000000000001,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,DFO,IC,1009,84378,11812.920000000002,NA,11.958093341866363,NA,0.14000000000000001,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",DFO,IC,655.36800000000005,57040,7985.6,5.4208333,11.489621318373072,0.47180260774404609,0.14000000000000001,PCE,Provides power to Alatna via intertie. Data includes Alatna's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",DFO,IC,573.84500000000003,49487,6928.18,4.0125000000000002,11.59587366379049,0.34602826111580653,0.14000000000000001,PCE,Provides power to Evansville via intertie. Data includes Evansville's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,Chistochina,DFO,IC,-2.1480000000000001,50.999999999999993,7.14,3.7124999999999999,NA,NA,0.14000000000000001,PCE,Receives power from Slana via intertie.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,DFO,IC,632.58299999999997,48370,6771.8000000000011,3.4691667000000002,13.078002894356006,0.26526731397935133,0.14000000000000001,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,"Craig, Klawock",DFO,IC,2779,206178,28864.920000000002,NA,13.478644666259251,NA,0.14000000000000001,EIA,"Part of the Alaska Power Company's grid on Prince of Wales Island. Provides to Hollis, Hydaburg, Klawock, Thorne Bay and Kaasan.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Viking,Craig,DFO,IC,3604,230118,32216.520000000004,NA,15.661530171477242,NA,0.14000000000000001,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Dot Lake, Dot Lake Village",DFO,IC,-0.6,0,0,3.9375,NA,NA,0.14000000000000001,PCE,"Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",DFO,IC,749.74199999999996,54362,7610.68,3.9624999999999999,13.791655936131857,0.28731140178888204,0.14000000000000001,PCE,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Haines,Haines,DFO,IC,185,36885,5163.9000000000005,3.4708332999999998,5.0155889928155073,0.69200911497567563,0.14000000000000001,"EIA, PCE",Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Skagway,Skagway,DFO,IC,95,14928,2089.92,3.4708332999999998,6.3638799571275459,0.54539578423578938,0.14000000000000001,"EIA, PCE",Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,Healy Lake,DFO,IC,83.3,9100,1274.0000000000002,3.6933332999999999,9.1538461538461533,0.4034733857142857,0.14000000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,Hollis,DFO,IC,-12.348000000000001,0,0,3.5558333000000002,NA,NA,0.14000000000000001,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
