"Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10
Table B. Communities Served by Certified Utilities in Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Name,Utility Name,PCE,AEA Energy Region,Census Region,Native Corporation Region,Region,Community Feature ID,Community Latitude,Community Longitude
Ester,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1397658,64.847222200000004,-148.0144444
Two Rivers,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1397685,64.872222199999996,-147.03833330000001
Akhiok,"Akhiok, City of",PCE Eligible Inactive,Kodiak,Kodiak Island,Koniag,SC,1398007,56.945555599999999,-154.17027780000001
Akiachak,Akiachak Native Community,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398011,60.909444399999998,-161.4313889
Akiak,Akiak City Council,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398012,60.912222200000002,-161.2138889
Alakanuk,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1398042,62.688888900000002,-164.6152778
Aleknagik,Nushagak Electric Cooperative,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1398091,59.273055599999999,-158.6177778
Allakaket,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398129,66.565555599999996,-152.64555559999999
Anaktuvuk Pass,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1398235,68.143333299999995,-151.7358333
Anchorage,"Anchorage Municipal Light & Power, Chugach Electric Assn Inc",PCE Ineligible,Railbelt,Anchorage,Cook Inlet,SC,1398242,61.2180556,-149.9002778
Anderson,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Denali,Doyon,YU,1398245,64.344166700000002,-149.18694439999999
Saint Mary's,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1398261,62.0530556,-163.1658333
Aniak,Aniak Light & Power,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398286,61.578333299999997,-159.52222219999999
Anvik,Alaska Village Electric Cooperative,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398335,62.656111099999997,-160.2066667
Arctic Village,Arctic Village Electric Company,PCE Eligible Inactive,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398382,68.126944399999999,-145.53777779999999
Barrow,Barrow Utilities & Electric Cooperative Inc.,PCE Ineligible,North Slope,North Slope,Arctic Slope,AN,1398635,71.290555600000005,-156.7886111
Beaver,Beaver Joint Utilities,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398776,66.359444400000001,-147.39638890000001
Bethel,Bethel Utilities Corporation,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398908,60.792222199999998,-161.75583330000001
Big Delta,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Southeast Fairbanks (CA),Doyon,YU,1398949,64.152500000000003,-145.84222220000001
Birch Creek,Birch Creek Village Electric,PCE Eligible Inactive,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1399049,66.259035499999996,-145.81901680000001
Cantwell,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Denali,Doyon,YU,1399788,63.391666700000002,-148.9508333
Central,Gold Country Energy,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400106,65.572500000000005,-144.80305559999999
Chalkyitsik,Chalkyitsik Village Council,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1400128,66.654444400000003,-143.7222222
Chefornak,Naterkaq Light Plant,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1400188,60.16,-164.2658333
Chevak,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1400219,61.527777800000003,-165.5863889
Chickaloon,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1400239,61.796666700000003,-148.4627778
Chignik,"Chignik, City of",PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1400269,56.295277800000001,-158.40222220000001
Chignik Lagoon,Chignik Lagoon Power Utility,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1400274,56.308439300000003,-158.53023909999999
