"(1) For communities that have PCE listed as data source, the value listed is gross generation.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Alaska Village Electric Cooperative,Mountain Village,2838.9659999999999,0,0,2838.9659999999999,2690.21,0,0,42.1,106.65599999999995,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,New Stuyahok,1502.1579999999999,0,0,1502.1579999999999,1428.056,0,0,35.78,38.321999999999889,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,Nightmute,0,0,0,0,598.20399999999995,0,0,0,-598.20399999999995,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Noatak,1840.098,0,0,1840.098,1745.8530000000001,0,0,39.457999999999998,54.786999999999807,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Noorvik,2034.1279999999999,0,0,2034.1279999999999,1942.9290000000001,0,0,32.654000000000003,58.544999999999845,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Nulato,1129.4480000000001,0,0,1129.4480000000001,1114.4349999999999,0,0,19.234000000000002,-4.2209999999997763,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Nunapitchuk,0,0,0,0,1178.837,0,0,0,-1178.837,PCE,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Old Harbor,818.77,0,0,818.77,755.64800000000002,0,0,30.751000000000001,32.370999999999981,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Alaska Village Electric Cooperative,Pilot Station,1770.3009999999999,0,0,1770.3009999999999,1685.4670000000001,0,0,19.63,65.203999999999724,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Pitkas Point,0,0,0,0,380.28699999999998,0,0,0,-380.28699999999998,PCE,"Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.",Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Quinhagak,1867.1579999999999,0,0,1867.1579999999999,1734.3879999999999,0,0,42.753,90.017000000000053,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Russian Mission,1141.538,0,0,1141.538,1082.431,0,0,17.751999999999999,41.355000000000018,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,"Saint Mary's, Andreafsky, Pitkas Point",3220.2829999999999,0,0,3220.2829999999999,2703.038,0,0,47.848999999999997,469.39599999999973,PCE,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Saint Michael,1780.7739999999999,0,0,1780.7739999999999,1683.181,0,0,45.811999999999998,51.780999999999949,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Savoonga,2147.4499999999998,0,0,2147.4499999999998,2100.087,0,0,33.889000000000003,13.473999999999705,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Scammon Bay,1766.952,0,0,1766.952,1678.3109999999999,0,0,31.4,57.240999999999985,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Selawik,2905.4459999999999,0,0,2905.4459999999999,2726.2159999999999,0,0,51.783999999999999,127.44599999999991,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Shageluk,381.26600000000002,0,0,381.26600000000002,345.48500000000001,0,0,12.250999999999999,23.53000000000003,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Shaktoolik,925.98400000000004,0,0,925.98400000000004,886.01400000000001,0,0,22.062999999999999,17.907000000000039,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Shishmaref,1640.7529999999999,0,0,1640.7529999999999,1580.479,0,0,46.843000000000004,13.430999999999813,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,"Shungnak, Kobuk",1569.4739999999999,0,0,1569.4739999999999,1504.5219999999999,0,0,42.13,22.821999999999889,PCE,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Stebbins,1387.5519999999999,0,0,1387.5519999999999,1347.883,0,0,33.317,6.3519999999998618,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Teller,882.36800000000005,0,0,882.36800000000005,789.30899999999997,0,0,44.378999999999998,48.680000000000064,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Togiak,3079.3789999999999,0,0,3079.3789999999999,2936.0189999999998,0,0,34.622999999999998,108.73700000000008,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Alaska Village Electric Cooperative,"Toksook Bay, Nightmute, Tununak",3292.5120000000002,0,0,3292.5120000000002,1527.193,0,0,140.43100000000001,1624.8880000000001,PCE,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Tununak,0,0,0,0,831.00099999999998,0,0,0,-831.00099999999998,PCE,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Wales,617.13199999999995,0,0,617.13199999999995,535.40700000000004,0,0,35.036999999999999,46.687999999999874,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alutiiq Power Company,Karluk,255.88900000000001,0,0,255.88900000000001,216.018,0,6.5330000000000004,3.2810000000000001,30.057000000000016,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Anchorage Municipal Light & Power,Anchorage,1239809,78661,0,1318470,1111643,185375,0,NA,21452,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Aniak Light & Power,Aniak,2652.7,0,0,2652.7,2143.616,0,90.988,34.101999999999997,383.99400000000014,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Atka, City of",Atka,471.62599999999998,0,0,471.62599999999998,389.31799999999998,0,3.823,27.303999999999998,51.18100000000004,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Atmautluak Tribal Utilities,Atmautluak,818.66300000000001,0,0,818.66300000000001,568.09500000000003,0,129.51900000000001,21.849,99.199999999999932,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Barrow Utilities & Electric Cooperative Inc.,Barrow,51204,0,0,51204,50052,0,0,0,1152,EIA,0,North Slope,North Slope,Arctic Slope,AN
Beaver Joint Utilities,Beaver,318.02999999999997,0,0,318.02999999999997,296.57600000000002,0,0,0,21.453999999999951,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Bethel Utilities Corporation,"Bethel, Oscarville",42400,0,0,42400,39500,0,0,635.6,2264.4000000000015,PCE,Provides power to Oscarville and sells power to Napakiak Ircinraq via intertie. Data includes Oscarville's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Buckland, City of",Buckland,1625.82,0,0,1625.82,1319.34,0,8.4719999999999995,33.616,264.39200000000005,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Chalkyitsik Village Council,Chalkyitsik,331.57,0,0,331.57,213.59899999999999,0,63.825000000000003,27.405000000000001,26.741000000000042,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Chenega Ira Council,Chenega Bay,320.69499999999999,0,0,320.69499999999999,291.11799999999999,0,0,12.419,17.158000000000015,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Chignik Lagoon Power Utility,Chignik Lagoon,523.89400000000001,0,0,523.89400000000001,451.17399999999998,0,10.177,17.363,45.180000000000007,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chignik Lake Electric Utility,Chignik Lake,206.178,0,0,206.178,180.084,0,8.0980000000000008,7.1349999999999998,10.86099999999999,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Chignik, City of",Chignik,901.33100000000002,0,0,901.33100000000002,785.64300000000003,0,0,33.249000000000002,82.438999999999965,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Chitina Electric Inc,Chitina,559.928,0,0,559.928,479.84199999999998,0,6.9,40.692,32.494000000000028,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,SC
Chugach Electric Assn Inc,NA,2408041,440254,7532,2855827,1166336,1538076,0,6158,145257,EIA,0,Railbelt,Anchorage,Cook Inlet,SC
Circle Electric Utility,Circle,394.12,0,0,394.12,358.94200000000001,0,0,4.6100000000000003,30.567999999999984,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Copper Valley Elec Assn Inc,Valdez,86113,0,0,86113,80421,0,0,205,5487,EIA,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,"Cordova, Eyak",26900,0,0,26900,25700,0,0,518.41800000000001,681.58199999999852,PCE,New plant,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Diomede Joint Utilities,Diomede,477.29399999999998,0,0,477.29399999999998,429.26499999999999,0,17.303999999999998,38.558110999999997,-7.833110999999974,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Egegik Light & Power Co,Egegik,282.25,0,0,282.25,254.024,0,0,0.505,27.721000000000004,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Alaska Village Electric Cooperative,Ekwok,283.988,0,0,283.988,252.3349,0,0,22.472455,9.18064499999997,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Elfin Cove Utility Commission,Elfin Cove,297.58,0,0,297.58,248.28299999999999,0,0,20.122799999999998,29.174199999999985,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"False Pass, City of",False Pass,500.54599999999999,0,0,500.54599999999999,388.81599999999997,0,0,39.195,72.535000000000025,PCE,0,Aleutians,Aleutians East,Aleut,SW
G & K Inc,Cold Bay,2725.4110000000001,0,0,2725.4110000000001,2394.9050000000002,0,0,158.48967000000002,172.01632999999993,PCE,0,Aleutians,Aleutians East,Aleut,SW
Gold Country Energy,Central,493.85399999999998,0,0,493.85399999999998,439.48500000000001,0,0,19.251000000000001,35.117999999999995,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Golden Valley Elec Assn Inc,NA,672276,697906,280,1370462,1289927,170,0,9341,71024,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golovin Power Utilities,Golovin,781.7,0,0,781.7,566.89700000000005,0,44.808,25.998999999999999,143.99599999999998,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Gustavus Electric Co,Gustavus,2094.2040000000002,0,0,2094.2040000000002,1825.931,0,0,41.488,226.78500000000008,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gwitchyaa Zhee Utilities Company,Fort Yukon,3092,0,0,3092,2753.848,0,0,30.38,307.77199999999993,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Homer Electric Assn Inc,NA,179,510282,0,510461,474669,0,0,2346,33446,EIA,"Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA",Railbelt,Anchorage,Cook Inlet,SC
Hughes Power & Light,Hughes,408.66,0,0,408.66,298.32600000000002,0,2.3620000000000001,36.365000000000002,71.606999999999971,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Igiugig Electric Company,Igiugig,155.37700000000001,0,0,155.37700000000001,272.59840000000003,0,0,13.513727000000001,-130.73512700000003,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton",4092.5410000000002,0,0,4092.5410000000002,2928.8409999999999,0,0,449.22300000000001,714.47700000000032,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Inside Passage Electric,Angoon,2088.6729999999998,0,0,2088.6729999999998,1860.6010000000001,0,0,63.457999999999998,164.61399999999958,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Chilkat Valley,183.54,1600.68,0,1784.22,1138.806,0,0,68.440909000000005,576.97309100000007,PCE,Provides power to Klukwan via intertie. Power is purchased from AP&T.,Southeast,Haines,Sealaska,SE
Inside Passage Electric,Hoonah,4860.308,0,0,4860.308,4424.6440000000002,0,0,43.433,392.23099999999977,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
