"(1) For communities that have PCE listed as data source, the value listed is gross generation.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
"(2) Net Wheeled Power is the reported net volume of electricity transmitted over an electric utility's system for compensation, which the electric utility received from one system and delivered to another system.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3) Energy Loss includes the total amount of electricity lost from transmission, distribution, and/or unaccounted for.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(4) Some PCE communities fail to report 12 months of the year, sometimes even if a report is submitted some data points may be missing. The values presented in this table are based on 12 months of data, missing values have been imputed. For a detail explanation of the imputation process, please refer to the accompanying report.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradley Lake generation - Reporting to EIA is based on ownership of the generating plant or who operates the plant depending on the survey form. The Alaska Energy Authority owns Bradley Lake; however it is operated by Homer Electric Association.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Alaska Power Company recorded 777 MWh in sales for resale to Inside Passage Electric Cooperative, Inc. this sales are not included in the table.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet. 
Blank cells indicate missing values.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sources: EIA Form 861 or PCE program data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 2.2a  Net Generation and Total Disposition by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Sum of Values=Total Disposition,NA,NA,NA,Sum of Values=Total Disposition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Community Name,Net Generation(1),Purchased Power,Net Wheeled Power(2),Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by Facility,Unaccountable /Energy Loss(3),Source(4),Notes,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
Akiachak Native Community,Akiachak,1885.1849999999999,0,0,1885.1849999999999,1496.384,0,200.84899999999999,33.651000000000003,154.30099999999993,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,1059.51,0,0,1059.51,839.88300000000004,0,15.861000000000001,29.978999999999999,173.78699999999992,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,543.48599999999999,0,0,543.48599999999999,496.745,0,0,11.804399999999999,34.936599999999999,PCE,0,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Juneau,127810,257713,0,385523,364710,0,0,4121,16692,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Environmental LLC,NA,1394,0,0,1394,0,1394,0,NA,NA,EIA,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,"Allakaket, Alatna",689.40099999999995,0,0,689.40099999999995,601.46900000000005,0,0,34.033000000000001,53.898999999999887,PCE,Provides power to Alatna via intertie. Data includes Alatna's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,"Bettles, Evansville",574.80799999999999,0,0,574.80799999999999,529.15,0,0,0.96299999999999997,44.69500000000005,PCE,Provides power to Evansville via intertie. Data includes Evansville's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,0.88300000000000001,0,0,0.88300000000000001,348.16399999999999,0,0,3.0310000000000001,-350.31200000000001,PCE,Receives power from Slana via intertie.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,638.52700000000004,184,0,822.52700000000004,786.92399999999998,0,0,5.944,29.659000000000106,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,4261.6710000000003,24056.244999999999,0,28317.915999999997,11700,0,0,196.40299999999999,16421.512999999999,PCE,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,"Dot Lake, Dot Lake Village",0,0,0,0,348.18599999999998,0,0,0.6,-348.786,PCE,"Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,"Eagle, Eagle Village",761.59900000000005,0,0,761.59900000000005,669.57,0,0,11.856999999999999,80.172000000000025,PCE,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Haines,485.2,14356.633,0,14841.833000000001,12800,0,0,308.72000000000003,1733.1130000000012,PCE,Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,85.533000000000001,0,0,85.533000000000001,71.555000000000007,0,0,2.2330000000000001,11.74499999999999,PCE,0,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,0,0,0,0,899.01,0,0,12.348000000000001,-911.35799999999995,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Hydaburg,0,0,0,0,1374.1569999999999,0,0,23.92,-1398.077,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Klawock,0,0,0,0,8326.3209999999999,0,0,27.4,-8353.7209999999995,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Mentasta Lake,239.607,0,0,239.607,355.76,0,0,2.4990000000000001,-118.65200000000002,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Naukati Bay,462.65199999999999,0,0,462.65199999999999,425.06099999999998,0,0,12.744,24.847000000000037,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,"Northway, Northway Village",1298.1220000000001,0,0,1298.1220000000001,1185.671,0,0,13.263273,99.187726999999995,PCE,Provides power to Northway Village via intertie. Data includes Northway Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Skagway,3209.04,10065.152,0,13274.191999999999,12200,0,0,164.423,909.76899999999841,PCE,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,"Slana, Chistochina",1170.4259999999999,0,0,1170.4259999999999,530.19299999999998,0,0,19.968,620.26499999999999,PCE,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Tetlin,0,0,0,0,332.661,0,0,0,-332.661,PCE,Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU
Alaska Power & Telephone Company,"Thorne Bay, Kasaan",0,0,NA,0,3173.6709999999998,NA,0,82.466999999999999,0,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,"Tok, Tanacross",10600,0,0,10600,8520.2510000000002,0,0,133.76,1945.9889999999996,PCE,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Whale Pass,277.822,0,0,277.822,229.18770000000001,0,0,10.78,37.854299999999995,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Village Electric Cooperative,Alakanuk,1972.1369999999999,0,0,1972.1369999999999,1930.223,0,0,25.928999999999998,15.9849999999999,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Ambler,1308.8409999999999,0,0,1308.8409999999999,1243.0719999999999,0,0,31.067,34.701999999999998,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Anvik,424.13600000000002,0,0,424.13600000000002,388.577,0,0,18.716000000000001,16.843000000000018,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Brevig Mission,1228.8620000000001,0,0,1228.8620000000001,1145.6420000000001,0,0,52.53,30.690000000000055,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Chevak,2497.5189999999998,0,0,2497.5189999999998,2329.018,0,0,98.623000000000005,69.877999999999702,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Eek,813.45299999999997,0,0,813.45299999999997,773.34199999999998,0,0,12.875,27.23599999999999,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Elim,1175.2929999999999,0,0,1175.2929999999999,1110.979,0,0,15.848000000000001,48.465999999999894,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Emmonak,3220.0639999999999,0,0,3220.0639999999999,3057.674,0,0,49.854999999999997,112.53499999999985,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Gambell,1993.296,0,0,1993.296,1776.2619999999999,0,0,110.211,106.82300000000009,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Goodnews Bay,787.48400000000004,0,0,787.48400000000004,763.68319999999994,0,0,14.411,9.3898000000001502,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Grayling,585.029,0,0,585.029,547.47400000000005,0,0,15.981999999999999,21.572999999999979,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Holy Cross,625.66,0,0,625.66,603.00599999999997,0,0,31.288,-8.6340000000000146,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,Hooper Bay,3323.181,0,0,3323.181,2979.7249999999999,0,0,68.617000000000004,274.83899999999994,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Huslia,1031.0329999999999,0,0,1031.0329999999999,992.07500000000005,0,0,25.233000000000001,13.724999999999909,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,"Kalskag, Lower Kalskag",1508.9939999999999,0,0,1508.9939999999999,938.51840000000004,0,0,36.787999999999997,533.68759999999986,PCE,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kaltag,745.495,0,0,745.495,685.49699999999996,0,0,18.457000000000001,41.541000000000054,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Village Electric Cooperative,"Kasigluk, Nunapitchuk",2860.585,0,0,2860.585,1555.77,0,0,77.314999999999998,1227.5,PCE,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Kiana,1555.614,0,0,1555.614,1437.2940000000001,0,0,43.881999999999998,74.437999999999874,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kivalina,1249.837,0,0,1249.837,1155.3879999999999,0,0,37.752000000000002,56.697000000000116,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Alaska Village Electric Cooperative,Kotlik,2011.0719999999999,0,0,2011.0719999999999,1834.96,0,0,44.615000000000002,131.49699999999984,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Koyuk,1333.049,0,0,1333.049,1275.5889999999999,0,0,17.131,40.328999999999951,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Alaska Village Electric Cooperative,Lower Kalskag,0,0,0,0,534.44630000000006,0,0,0,-534.44630000000006,PCE,"Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.",Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Marshall,1678.8440000000001,0,0,1678.8440000000001,1594.2470000000001,0,0,34.667999999999999,49.929000000000087,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Alaska Village Electric Cooperative,Mekoryuk,1028.9749999999999,0,0,1028.9749999999999,883.85259999999994,0,0,81.438000000000002,63.684399999999982,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Alaska Village Electric Cooperative,Minto,671.86199999999997,0,0,671.86199999999997,619.30100000000004,0,0,19.199000000000002,33.361999999999966,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
