1) Data before 2001 from the Alaska Energy Statistis Report 2003.,...2,...3,...4,...5,...6,...7,...8,...9,...10
"a)""Other"" category  for cost/kwh not listed before 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"b) Total sales, revenue, and customers may exceed the the sum of Residential and Commercial/Industrial. This is due to the addition of accounts which do not fit into these two classes. These figures do not include sale for resale.",NA,NA,NA,NA,NA,NA,NA,NA,NA
c) Data from 1996-2000 from EIA historic tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Utility data file,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3)Figures for 2009 and fordward are based on the Energy Statistics publication, including data from EIA and PCE. Data not consistent with prior years due to changes in methodology.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOTE: Industrial sales, revenue and rates are included under the commercial category unitl 2009; in 2010 they're included under the 'other' category. Averages are weigthed.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"*If 'Other' category is blank, but 'Commercial' category is available, the 'Commercial' category includes both Commercial and Industrial sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 3.6   Average Annual Energy Use and Rates by Customer Type by Certified Utilities in Alaska (kWh/Customer, $/Customer, $/kWh), 1962-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Residential,NA,NA,Commercial*,NA,NA,Other,NA,NA
NA,Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents),Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents),Sales per Customer (kWh),Revenue per Customer,Rate per kWh (cents)
1962,4987.0105771015033,203.51642234180738,4.0809302325581394,28084.392902053936,1091.5187927902753,3.886567164179104,NA,NA,3.5958333333333337
1963,5039.036311338913,184.97372348017907,3.6708154506437767,34261.241970021416,1151.3650963597431,3.3605468749999998,NA,NA,3.3592592592592592
1964,5125.8154706430569,177.51934843389117,3.4632411067193676,35754.752612363081,1146.2923328717109,3.205985915492958,NA,NA,3.6999999999999997
1965,5383.2400497512435,190.24020522388059,3.5339350180505416,38518.518518518518,1241.9753086419753,3.224358974358974,NA,NA,3.7111111111111108
1966,5824.7947865203096,202.7720640535189,3.4811881188118816,44019.728729963004,1362.3921085080149,3.0949579831932774,NA,NA,3.591176470588235
1967,6468.7621986356116,218.19060542409426,3.3729885057471263,44911.55524925339,1374.3395359522169,3.0601023017902813,NA,NA,3.1063829787234045
1968,6547.171836428035,219.75957926371152,3.3565573770491803,45374.254802384632,1366.8580260543167,3.0124087591240878,NA,NA,2.8046875
1969,6953.8246035319426,217.58633915320092,3.1290167865707437,49385.310497005354,1391.6150047283809,2.8178723404255321,NA,NA,2.8217391304347825
1970,7266.0791299456214,218.99806237889868,3.0139784946236561,51928.332827209233,1476.9713533758477,2.8442495126705656,NA,NA,2.6960526315789473
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
