"Sources: Regulatory Commision of Alaska, U.S. Department of Energy - Energy Information Admisnistration and ISER.
Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Alaska Power & Telephone Company,Black Bear Lake,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,NA,NA,NA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie."
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1669437,56.013888899999998,-132.82777780000001,Part of the Alaska Power Company's grid on Prince of Wales Island.
Alaska Power & Telephone Company,Craig,"Craig, Klawock",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,NA,NA,NA,"Part of the Alaska Power Company's grid on Prince of Wales Island. Provides to Hollis, Hydaburg, Klawock, Thorne Bay and Kaasan."
Alaska Power & Telephone Company,Hydaburg,Hydaburg,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1422709,55.208055600000002,-132.8266667,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.
Alaska Power & Telephone Company,Craig,Klawock,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423100,55.552222200000003,-133.09583330000001,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,NA,NA,NA,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.
Alaska Power & Telephone Company,False Island,"Thorne Bay, Kasaan",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,NA,NA,NA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.
Alaska Power & Telephone Company,Goat Lake,"Haines, Covenant Life, Skagway",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Skagway,Sealaska,SE,NA,NA,NA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Haines,Haines,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Haines,Sealaska,SE,NA,NA,NA,Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Healy Lake,Healy Lake,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,2419534,63.987230799999999,-144.69983250000001,NA
Alaska Power & Telephone Company,Hollis,Hollis,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1866952,55.556666700000001,-132.63638889999999,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.
Alaska Power & Telephone Company,Kasidaya Creek,Skagway,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Skagway,Sealaska,SE,1414754,59.4583333,-135.31388889999999,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,1406241,62.921111099999997,-143.7691667,NA
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1866964,55.873611099999998,-133.18472220000001,NA
Alaska Power & Telephone Company,Northway,"Northway, Northway Village",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,NA,NA,NA,Provides power to Northway Village via intertie. Data includes Northway Village's information.
Alaska Power & Telephone Company,Skagway,Skagway,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Skagway,Sealaska,SE,NA,NA,NA,Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Alaska Power & Telephone Company,Chistochina,Chistochina,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,1400333,62.571782800000001,-144.6541704,Receives power from Slana via intertie.
Alaska Power & Telephone Company,Slana,"Slana, Chistochina",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU,NA,NA,NA,Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.
Alaska Power & Telephone Company,South Fork,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,NA,NA,NA,Receives power from Craig via intertie.
Alaska Power & Telephone Company,Thorne Bay Plant,"Thorne Bay, Kasaan",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,NA,NA,NA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.
Alaska Power & Telephone Company,Tok,"Dot Lake, Dot Lake Village",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,NA,NA,NA,"Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok."
Alaska Power & Telephone Company,Tok,Tetlin,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU,1410765,63.135051199999999,-142.52387959999999,Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.
Alaska Power & Telephone Company,Tok,"Tok, Tanacross",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,NA,NA,NA,"Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information."
Alaska Power & Telephone Company,Viking,Craig,Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1421260,55.476388900000003,-133.14833329999999,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie."
Alaska Power & Telephone Company,Whale Pass,Whale Pass,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,ALASPCA,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1744590,56.115277800000001,-133.12083329999999,NA
Alaska Village Electric Cooperative,Alakanuk,Alakanuk,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1398042,62.688888900000002,-164.6152778,NA
Alaska Village Electric Cooperative,Ambler,Ambler,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1412509,67.086111099999997,-157.85138889999999,NA
Alaska Village Electric Cooperative,Anvik,Anvik,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398335,62.656111099999997,-160.2066667,NA
Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1420670,65.334722200000002,-166.4891667,NA
Alaska Village Electric Cooperative,Chevak,Chevak,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1400219,61.527777800000003,-165.5863889,NA
Alaska Village Electric Cooperative,Eek,Eek,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1401666,60.218888900000003,-162.02444439999999,NA
Alaska Village Electric Cooperative,Ekwok,Ekwok,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,EKWO,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1401738,59.349722200000002,-157.47527779999999,NA
Alaska Village Electric Cooperative,Elim,Elim,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1401788,64.617500000000007,-162.2605556,NA
Alaska Village Electric Cooperative,Emmonak,Emmonak,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1401837,62.777777800000003,-164.52305559999999,NA
Alaska Village Electric Cooperative,Gambell,Gambell,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1402463,63.779722200000002,-171.74111110000001,NA
Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1415910,59.118888900000002,-161.58750000000001,NA
Alaska Village Electric Cooperative,Grayling,Grayling,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1402921,62.903611099999999,-160.06472220000001,NA
Alaska Village Electric Cooperative,Holy Cross,Holy Cross,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403447,62.199444399999997,-159.77138890000001,NA
Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1403493,61.531111099999997,-166.09666669999999,NA
Alaska Village Electric Cooperative,Huslia,Huslia,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1403644,65.698611099999994,-156.39972220000001,NA
Alaska Village Electric Cooperative,Kaltag,Kaltag,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1404379,64.327222199999994,-158.72194440000001,NA
Alaska Village Electric Cooperative,Kasigluk,"Kasigluk, Nunapitchuk",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,NA,NA,NA,Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.
Alaska Village Electric Cooperative,Nunapitchuk,Nunapitchuk,Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1407339,60.896944400000002,-162.4594444,Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.
Alaska Village Electric Cooperative,Kiana,Kiana,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413311,66.974999999999994,-160.42277780000001,NA
Alaska Village Electric Cooperative,Kivalina,Kivalina,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413348,67.726944399999994,-164.53333330000001,NA
Alaska Village Electric Cooperative,Kotlik,Kotlik,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1404964,63.0341667,-163.55333329999999,NA
Alaska Village Electric Cooperative,Koyuk,Koyuk,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1404981,64.931944400000006,-161.15694439999999,NA
Alaska Village Electric Cooperative,Marshall,Marshall,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1405984,61.877777799999997,-162.08111109999999,NA
Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406211,60.388055600000001,-166.185,NA
Alaska Village Electric Cooperative,Minto,Minto,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1406419,65.150411000000005,-149.34970799999999,NA
Alaska Village Electric Cooperative,Mountain Village,Mountain Village,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1406655,62.085555599999999,-163.72944440000001,NA
Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1406972,59.4527778,-157.31194439999999,NA
Alaska Village Electric Cooperative,Noatak,Noatak,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413638,67.571111099999996,-162.9652778,NA
Alaska Village Electric Cooperative,Noorvik,Noorvik,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413646,66.838333300000002,-161.03277779999999,NA
Alaska Village Electric Cooperative,Nulato,Nulato,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1407321,64.7194444,-158.1030556,NA
Alaska Village Electric Cooperative,Old Harbor,Old Harbor,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Kodiak,Kodiak Island,Koniag,SC,1407483,57.2027778,-153.3038889,NA
Alaska Village Electric Cooperative,Pilot Station,Pilot Station,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1407993,61.938888900000002,-162.875,NA
Alaska Village Electric Cooperative,Quinhagak,Quinhagak,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1408462,59.748888899999997,-161.9158333,NA
Alaska Village Electric Cooperative,Russian Mission,Russian Mission,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1408925,61.784999999999997,-161.32027780000001,NA
Alaska Village Electric Cooperative,Saint Mary's,Pitkas Point,Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1408054,62.032777799999998,-163.28777779999999,"Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's."
Alaska Village Electric Cooperative,Saint Mary's,"Saint Mary's, Andreafsky, Pitkas Point",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,NA,NA,NA,Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.
Alaska Village Electric Cooperative,Saint Michael,Saint Michael,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1408977,63.478055599999998,-162.03916670000001,NA
Alaska Village Electric Cooperative,Savoonga,Savoonga,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1409106,63.694166699999997,-170.47888889999999,NA
Alaska Village Electric Cooperative,Scammon Bay,Scammon Bay,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,1409133,61.8427778,-165.5816667,NA
Alaska Village Electric Cooperative,Selawik,Selawik,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,1413930,66.603888900000001,-160.00694440000001,NA
Alaska Village Electric Cooperative,Shageluk,Shageluk,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1409306,62.682222199999998,-159.56194439999999,NA
Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1669434,64.333888900000005,-161.1538889,NA
Alaska Village Electric Cooperative,Shishmaref,Shishmaref,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1409434,66.256666699999997,-166.07194440000001,NA
Alaska Village Electric Cooperative,Shungnak,"Shungnak, Kobuk",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Northwest Arctic,Northwest Arctic,NANA,AN,NA,NA,NA,Provides power to Kobuk via intertie. Fuel use and cost includes Kobuk's information.
Alaska Village Electric Cooperative,Stebbins,Stebbins,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1410158,63.522222200000002,-162.28805560000001,NA
Alaska Village Electric Cooperative,Teller,Teller,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1410730,65.263611100000006,-166.3608333,NA
Alaska Village Electric Cooperative,Togiak,Togiak,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1411039,59.061944400000002,-160.37638889999999,NA
Alaska Village Electric Cooperative,Nightmute,Nightmute,Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1407008,60.479444399999998,-164.72388889999999,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay."
Alaska Village Electric Cooperative,Toksook Bay,"Toksook Bay, Nightmute, Tununak",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,NA,NA,NA,Provides power to Nightmute and Tununak via intertie. Fuel use and cost includes Nightmute's and Tununak's information.
Alaska Village Electric Cooperative,Tununak,Tununak,Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1410644,60.585555599999999,-165.25583330000001,"Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay."
Alaska Village Electric Cooperative,Upper Kalskag,"Kalskag, Lower Kalskag",Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,NA,NA,NA,Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.
Alaska Village Electric Cooperative,Upper Kalskag,Lower Kalskag,Not regulated,Active,Electric Co-op,Yes,PCE Eligible Active,ALASVEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1405763,61.512222199999997,-160.3580556,"Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag."
Alaska Village Electric Cooperative,Wales,Wales,Not regulated,Active,Electric Co-op,No,PCE Eligible Active,ALASVEC,Bering Straits,Nome (CA),Bering Straits,AN,1404755,65.609166700000003,-168.08750000000001,NA
Alutiiq Power Company,Karluk,Karluk,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,ALUTPC,Kodiak,Kodiak Island,Koniag,SC,1404456,57.5719444,-154.4555556,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,Regulated,Active,Public Electric Utility,Yes,PCE Ineligible,ML&P,Railbelt,Anchorage,Cook Inlet,SC,1398242,61.2180556,-149.9002778,NA
Anchorage Municipal Light & Power,AWWU Conduit,Anchorage,Regulated,Active,Public Electric Utility,Yes,PCE Ineligible,ML&P,Railbelt,Anchorage,Cook Inlet,SC,1398242,61.2180556,-149.9002778,NA
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,Regulated,Active,Public Electric Utility,Yes,PCE Ineligible,ML&P,Railbelt,Anchorage,Cook Inlet,SC,1398242,61.2180556,-149.9002778,NA
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,Regulated,Active,Public Electric Utility,Yes,PCE Ineligible,ML&P,Railbelt,Anchorage,Cook Inlet,SC,1398242,61.2180556,-149.9002778,NA
Aniak Light & Power,Aniak,Aniak,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,ANIALPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398286,61.578333299999997,-159.52222219999999,NA
Arctic Village Electric Company,Arctic Village,Arctic Village,NA,Active,Electric Co-op,No,PCE Eligible Inactive,NA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398382,68.126944399999999,-145.53777779999999,NA
"Atka, City of",Atka,Atka,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,ATKA,Aleutians,Aleutians West (CA),Aleut,SW,1418170,52.196111100000003,-174.2005556,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,ATMATU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1699811,60.866944400000001,-162.27305559999999,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,Regulated,Active,Independent Power Producer,Yes,PCE Ineligible,AURORA,Railbelt,Fairbanks North Star,Doyon,YU,1401958,64.837777799999998,-147.7163889,Aurora Energy LLC is an independent power producer that sells all its power to GVEA.
"Banner Wind, LLC",Banner Peak Wind Farm,Nome,NA,NA,Independent Power Producer,No,PCE Eligible Active,NA,Bering Straits,Nome (CA),Bering Straits,AN,1407125,64.501111100000003,-165.4063889,"Banner Wind, LLC. is an independent power proucer, who sells all its power to Nome Joint Utility Systems."
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,Not regulated,Active,Electric Co-op,No,PCE Ineligible,NA,North Slope,North Slope,Arctic Slope,AN,1398635,71.290555600000005,-156.7886111,NA
Beaver Joint Utilities,Beaver,Beaver,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,BEAVJU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1398776,66.359444400000001,-147.39638890000001,NA
