"Sources: Regulatory Commision of Alaska, U.S. Department of Energy - Energy Information Admisnistration and ISER.
Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Table A. Certified Utilities in Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community,Utility Regulatory Status,Certificate,Utility Type,Intertied,PCE,Utility Acronym,AEA Energy Region,Census Region,Native Corporation Region,Region,Community Feature ID,Community Latitude,Community Longitude,Notes
"Akhiok, City of",Akhiok,Akhiok,Not regulated,Active,Public Electric Utility,No,PCE Eligible Inactive,AKHIK,Kodiak,Kodiak Island,Koniag,SC,1398007,56.945555599999999,-154.17027780000001,NA
Akiachak Native Community,Akiachak,Akiachak,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,AKIANCE,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398011,60.909444399999998,-161.4313889,NA
Akiak City Council,Akiak,Akiak,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,AKIA,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1398012,60.912222200000002,-161.2138889,NA
"Akutan, City of",Akutan,Akutan,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,AKUT,Aleutians,Aleutians East,Aleut,SW,1418123,54.135555600000004,-165.77305559999999,NA
Alaska Electric Light & Power Company,Annex Creek,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Auke Bay,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Gold Creek,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Lemon Creek,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Electric Light & Power Company,Snettisham,Juneau,Regulated,Active,Private Electric Utility,No,PCE Ineligible,AEL&P,Southeast,Juneau,Sealaska,SE,1404263,58.301944399999996,-134.4197222,NA
Alaska Environmental LLC,Alaska Environmental,NA,Regulated,Active,Independent Power Producer,Yes,PCE Ineligible,AKENV,Railbelt,Southeast Fairbanks (CA),Doyon,YU,NA,NA,NA,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,NA,NA,NA,Provides power to Alatna via intertie. Data includes Alatna's information.
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",Regulated,Active,Private Electric Utility,Yes,PCE Eligible Active,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,NA,NA,NA,Provides power to Evansville via intertie. Data includes Evansville's information.
