(1) Gross generation minus the parasitic station load (i.e. station use); may be negative if the station service load exceeded the gross electrical generation. This may be the case for stand-by generators. Please note that net generation is not defined as electric power sold.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
"Note: The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine. 
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a electricity generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradley Lake generation - Reporting to EIA is based on ownership of the generating plant or who operates the plant depending on the survey form. The Alaska Energy Authority owns Bradley Lake; however it is operated by Homer Electric Association.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet. 
Blank cells indicate missing values.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sources: EIA Form 923, Schedule 5 part B or PCE program Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 2.3a  Net Generation by Prime Mover by Certified Utilities (MWh), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation (1),Station Service Consumption,Gross Generation,Source,Notes,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
Akiachak Native Community,Akiachak,Akiachak,0,1851.5340000000001,0,0,1851.5340000000001,33.651000000000003,1885.1850000000002,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,Akiak,0,1029.5309999999999,0,0,1029.5309999999999,29.978999999999999,1059.51,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,Akutan,0,489.57059999999996,42.110999999999997,0,531.6816,11.804399999999999,543.48599999999999,PCE,0,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Annex Creek,Juneau,0,0,22270,0,22270,151,22421,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Auke Bay,Juneau,1065,54,0,0,1119,NA,NA,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Gold Creek,Juneau,0,23,4838,0,4861,564,5425,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,0,0,70602,0,70602,1216,71818,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,1274,1009,0,0,2283,122,2405,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,0,0,24337,0,24337,93,24430,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Snettisham,Juneau,0,0,263749,0,263749,1936,265685,EIA,0,Southeast,Juneau,Sealaska,SE
Alaska Environmental LLC,Alaska Environmental,NA,0,0,0,1394,1394,186,1580,EIA,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.,Railbelt,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",0,655.36800000000005,0,0,655.36800000000005,34.033000000000001,689.40100000000007,PCE,Provides power to Alatna via intertie. Data includes Alatna's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Bettles,"Bettles, Evansville",0,573.84500000000003,0,0,573.84500000000003,0.96299999999999997,574.80799999999999,PCE,Provides power to Evansville via intertie. Data includes Evansville's information.,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Alaska Power & Telephone Company,Chistochina,Chistochina,0,-2.1480000000000001,0,0,-2.1480000000000001,3.0310000000000001,0.88300000000000001,PCE,Receives power from Slana via intertie.,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,0,632.58299999999997,0,0,632.58299999999997,5.944,638.52699999999993,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Craig,Craig,0,2779,0,0,2779,158,2937,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Viking,Craig,0,65,0,0,65,27,92,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Black Bear Lake,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",0,0,17791,0,17791,51,17842,EIA,"Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.",Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,South Fork,"Craig, Klawock, Hollis, Hydaburg, Thorne Bay, Kasaan, Coffman Cove",0,0,6115,0,6115,23,6138,EIA,Receives power from Craig via intertie.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Tok,"Dot Lake, Dot Lake Village",0,-0.6,0,0,-0.6,0.6,0,PCE,"Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.",Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Eagle,"Eagle, Eagle Village",0,749.74199999999996,0,0,749.74199999999996,11.856999999999999,761.59899999999993,PCE,Provides power to Eagle Village via intertie. Data includes Eagle Village's information.,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Goat Lake,"Haines, Covenant Life, Skagway",0,0,15831,0,15831,146,15977,EIA,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Haines,Haines,0,185,0,0,185,308.72000000000003,493.72,"EIA, PCE",Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Haines,Sealaska,SE
Alaska Power & Telephone Company,Skagway,Skagway,0,95,3000.12,0,3095.12,164.423,3259.5429999999997,"EIA, PCE",Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.,Southeast,Skagway,Sealaska,SE
Alaska Power & Telephone Company,Healy Lake,Healy Lake,0,83.3,0,0,83.3,2.2330000000000001,85.533000000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Hollis,Hollis,0,-12.348000000000001,0,0,-12.348000000000001,12.348000000000001,0,PCE,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Hydaburg,Hydaburg,0,23,0,0,23,25,48,EIA,Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Alaska Power & Telephone Company,Mentasta Lake,Mentasta Lake,0,237.108,0,0,237.108,2.4990000000000001,239.607,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Ahtna,YU
Alaska Power & Telephone Company,Naukati Bay,Naukati Bay,0,449.90800000000002,0,0,449.90800000000002,12.744,462.65200000000004,PCE,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
