1) Data before 2001 from the Alaska Energy Statistics Report 2003,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
a) From AK Electric Power Statistics 1960-1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b) From AK Electric Power Statistics 1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c) From AK Electric Power Statistics 1960-1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data before 1996 from prior AK Power Statistics reports.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e) Data from 1996-2000 from EIA historic tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Generator data file.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
g) Utility totals from 1962 to 1972 and from 1977 to 1979 added to the table published in 2003. Data regarding regional details not available.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3)Figures for 2009 and forward are based on the Energy Statistics publication, including data from EIA and PCE. Data not consistent with prior years due to changes in methodology.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 3.2   Installed Capacity by Region by Certified Utilities in Alaska (kW, %), 1962-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Notes,Statewide Total,Arctic,% of Statewide Total,South Central,% of Statewide Total,South East,% of Statewide Total,South West,% of Statewide Total,Yukon,% of Statewide Total
1962,"2,g",169968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"2,g",202243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"2,g",218582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"2,g",242812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"2,g",254148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"2,g",260273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"2,g",339688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"2,g",347013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"2,g",406596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"2,g",472955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
