PCE Eligible Communities,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count of PCE,Column Labels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,Grand Total,NA,NA,NA,NA,NA,NA,NA,NA
Aleutians,12,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
Bering Straits,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
Bristol Bay,26,1,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
Copper River/Chugach,8,NA,15,23,NA,NA,NA,NA,NA,NA,NA,NA
Kodiak,4,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,47,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
North Slope,7,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
Railbelt,NA,NA,95,95,NA,NA,NA,NA,NA,NA,NA,NA
Southeast,22,NA,9,31,NA,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,38,5,2,45,NA,NA,NA,NA,NA,NA,NA,NA
Grand Total,191,9,128,328,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.58231707317073167,2.7439024390243903E-2,0.3902439024390244,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Installed Capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,"Sum of Total Capacity, kW (1)",Sum of Fossil Fuel Turbines,Sum of Internal Combustion,Sum of Hydroelectric,Sum of Wind Turbine,NA,NA,Row Labels,"Sum of Total Capacity, kW (1)",NA,NA,NA
Aleutians,37485,0,34945,800,1740,NA,NA,AN,104952,NA,NA,NA
Bering Straits,39233,0,36833,0,2400,NA,NA,SC,1230196,NA,NA,NA
Bristol Bay,28323,0,27479,824,44,NA,NA,SE,414357,NA,NA,NA
Copper River/Chugach,57344,8100,30044,19200,0,NA,NA,SW,101725,NA,NA,NA
Kodiak,62607,0,35232,22875,4500,NA,NA,YU,356287.5,NA,NA,NA
Lower Yukon-Kuskokwim,55959,0,53209,0,2750,NA,NA,Grand Total,2207517.5,NA,NA,NA
North Slope,40600,17300,23300,0,0,NA,NA,NA,NA,NA,NA,NA
Northwest Arctic,25119,0,21959,0,1400,NA,NA,NA,NA,NA,NA,NA
Railbelt,1416775,1198900,26200,184375,1012,NA,NA,NA,NA,NA,NA,NA
Southeast,414357,70900,130922,210085,0,NA,NA,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,29715.5,0,29715.5,0,0,NA,NA,NA,NA,NA,NA,NA
Grand Total,2207517.5,1295200,449838.5,438159,13846,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Net Generation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Total Net Generation (1),NA,Row Labels,Sum of Total Net Generation (1),NA,Row Labels,Sum of Total Net Generation (1),Sum of Fossil Fuel Turbines,Sum of Reciprocating Internal Combustion,Sum of Hydroelectric,Sum of Wind Turbine,NA
Aleutians,63862.538499999995,NA,AN,171335.36389999997,NA,Aleutians,63862.538499999995,0,60717.303499999995,3144.5749999999998,0.66,NA
Bering Straits,55093.564899999998,NA,SC,4458214.6495500002,NA,Bering Straits,55093.564899999998,0,52469.839900000006,0,2623.7249999999999,NA
Bristol Bay,54518.98514550001,NA,SE,790081.16024999996,NA,Bristol Bay,54518.98514550001,0,50864.982145500006,3566.2379999999998,87.764999999999986,NA
Copper River/Chugach,114672.06199999999,NA,SW,192175.4529455,NA,Copper River/Chugach,114672.06199999999,17566,34157.133999999998,62948.928,0,NA
Kodiak,150273.00555,NA,YU,940441.61810000008,NA,Kodiak,150273.00555,0,23380.62055,114528.38499999999,12364,NA
Lower Yukon-Kuskokwim,96148.511700000003,NA,Grand Total,6552248.2447455004,NA,Lower Yukon-Kuskokwim,96148.511700000003,0,93034.6927,0,3113.8190000000004,NA
North Slope,80326,NA,NA,NA,NA,North Slope,80326,50211,30115,0,0,NA
Northwest Arctic,35915.798999999999,NA,NA,NA,NA,Northwest Arctic,35915.798999999999,0,34305.354999999996,0,1610.444,NA
Railbelt,5078287,NA,NA,NA,NA,Railbelt,5078287,4677955,191,398747,1394,NA
Southeast,790081.16024999996,NA,NA,NA,NA,Southeast,790081.16024999996,2339,30309.500250000001,757432.65999999992,0,NA
Yukon-Koyukuk/Upper Tanana,33069.617700000003,NA,NA,NA,NA,Yukon-Koyukuk/Upper Tanana,33069.617700000003,0,33069.617700000003,0,0,NA
Grand Total,6552248.2447455004,NA,NA,NA,NA,Grand Total,6552248.2447455004,4748071,442615.04574549996,1340367.7859999998,21194.413,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Oil,Sum of Gas,Sum of Coal,Sum of Hydro,Sum of Wind,Consistency Check,NA,NA,NA,NA,NA,NA
Aleutians,60717.303499999995,0,0,3144.5749999999998,0.66,63862.538499999995,0,NA,NA,NA,NA,NA
Bering Straits,52469.839900000006,0,0,0,2623.5770000000002,55093.416900000004,-0.14799999999377178,NA,NA,NA,NA,NA
Bristol Bay,50864.982055,0,0,3566.2379999999998,87.764999999999986,54518.985054999997,-9.0500012447591871E-5,NA,NA,NA,NA,NA
Copper River/Chugach,51723.133999999998,0,0,62948.928,0,114672.06200000001,0,NA,NA,NA,NA,NA
Kodiak,23380.62055,0,0,114528.38499999999,12364,150273.00555,0,NA,NA,NA,NA,NA
Lower Yukon-Kuskokwim,93034.6927,0,0,0,3113.8190000000004,96148.511700000003,0,NA,NA,NA,NA,NA
North Slope,28640,51686,0,0,0,80326,0,NA,NA,NA,NA,NA
Northwest Arctic,34305.354999999996,0,0,0,1610.444,35915.798999999999,0,NA,NA,NA,NA,NA
Railbelt,559426.34499999997,3731560.6550000003,387160,398747,1394,5078288,1,NA,NA,NA,NA,NA
Southeast,32648.500249999997,0,0,757432.65999999992,0,790081.16024999996,0,NA,NA,NA,NA,NA
Yukon-Koyukuk/Upper Tanana,33070.758699999998,0,0,0,0,33070.758699999998,1.1409999999959837,NA,NA,NA,NA,NA
Grand Total,1020281.5316549999,3783246.6550000003,387160,1340367.7859999998,21194.264999999999,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,AEA Energy Region,Railbelt,NA,NA,NA
Fuel Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Row Labels,Sum of Oil (gallons),Sum of Gas (Mcf),Sum of Coal (Short Tons),NA,NA,NA,NA,Row Labels,Sum of Oil (gallons),NA,NA,NA
Aleutians,4221440.2,0,0,NA,NA,NA,NA,Alaska Environmental LLC,0,NA,NA,NA
Bering Straits,3548336,0,0,NA,NA,NA,NA,Anchorage Municipal Light & Power,23352,6.7713629803740081E-4,NA,NA
