1) Data before 2001 from the Alaska Energy Statistics Report 2003.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
"a) From AK Power Survey, 1976; Arctic value is ""Remainder"", inclusive of the Arctic, North-West and South-West.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b) Barrow Natural Gas values missing for 1996.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c) Data from 1996-2000 from EIA historic tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2) Data from 2002-2008 from EIA Annual Electric Utility data file.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d) Data from 2002-2008 not consistent with prior years due to changes in reporting and utilities that failed to report to EIA.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3)Figures for 2009 and fordward are based on the Energy Statistics publication, including data from EIA and PCE. Data not consistent with prior years due to changes in methodology.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 3.4   Net Generation by Region by Certified Utilities in Alaska (MWh), 1962-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Notes,Statewide Total,Arctic,% of Statewide Total,South Central,% of Statewide Total,South East,% of Statewide Total,South West,% of Statewide Total,Yukon,% of Statewide Total
1962,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"1,a",574000,14000,2.4390243902439025E-2,329000,0.57317073170731703,129000,0.22473867595818817,NA,0,102000,0.17770034843205576
1964,"1,a",628000,15000,2.3885350318471339E-2,362000,0.57643312101910826,141000,0.22452229299363058,NA,0,110000,0.1751592356687898
1965,1,733926,9126,1.2434496120862322E-2,451349,0.61497889432994612,148121,0.20182007450342404,7980,1.0873030796020308E-2,117350,0.15989350424974724
1966,"1,a",822000,20000,2.4330900243309004E-2,510000,0.62043795620437958,160000,0.19464720194647203,NA,0,132000,0.16058394160583941
1967,"1,a",891000,22000,2.4691358024691357E-2,560000,0.62850729517396187,156000,0.17508417508417509,NA,0,145000,0.16273849607182941
1968,"1,a",1008000,25000,2.48015873015873E-2,635000,0.62996031746031744,177000,0.17559523809523808,NA,0,171000,0.16964285714285715
1969,"1,a",1120000,29000,2.5892857142857145E-2,708000,0.63214285714285712,185000,0.16517857142857142,NA,0,198000,0.1767857142857143
1970,1,1281310,15836,1.2359226104533641E-2,804449,0.62783323317542206,201952,0.15761369223685134,18941,1.4782527257260147E-2,240132,0.18741132122593285
1971,1,1491351,18367,1.2315678871037067E-2,956098,0.64109522171507582,217336,0.14573095133204725,22976,1.5406165282351371E-2,276574,0.18545198279948852
1972,1,1624744,20278,1.2480735426627211E-2,1033717,0.63623376975080381,232465,0.14307792489155213,25847,1.5908352331198021E-2,312437,0.1922992175998188
1973,1,1789281,22415,1.2527378315647458E-2,1169883,0.65382854900935072,247700,0.13843549448074394,28798,1.6094733024047091E-2,320485,0.17911384517021084
