"(1) The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine. 
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.

If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
"Table 2.1b  Installed Capacity by Prime Mover by Plant by Certified Utilities (Percent Distribution), 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utility/IPP Name,Plant Name,Community Name,"Total Capacity, kW (1)",Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Source,PCE Utility/Community,Notes,Abbr.,AEA Energy Region,Census Region,Native Corporation Region,AKEPS Region
"Akhiok, City of",Akhiok,Akhiok,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Inactive,0,AKHIK,Kodiak,Kodiak Island,Koniag,SC
Akiachak Native Community,Akiachak,Akiachak,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,AKIANCE,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Akiak City Council,Akiak,Akiak,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,AKIA,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Akutan, City of",Akutan,Akutan,1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,0,AKUT,Aleutians,Aleutians East,Aleut,SW
Alaska Electric Light & Power Company,Annex Creek,Juneau,1,0,0,1,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Auke Bay,Juneau,1,0.93093922651933703,6.9060773480662987E-2,0,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Gold Creek,Juneau,1,0,0.83505154639175261,0.16494845360824742,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lake Dorothy,Juneau,1,0,0,1,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Lemon Creek,Juneau,1,0.60291734197730962,0.39708265802269044,0,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,1,0,0,1,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Electric Light & Power Company,Snettisham,Juneau,1,0,0,1,0,EIA-F923,PCE Ineligible,0,AEL&P,Southeast,Juneau,Sealaska,SE
Alaska Environmental LLC,Alaska Environmental,NA,1,0,0,0,1,AEA-Wind Report,PCE Ineligible,Plant is also know as Delta Wind. Alaska Environmental LLC is an independent power producer that sells all its power to GVEA.,AKENV,Railbelt,Southeast Fairbanks (CA),Doyon,YU
Alaska Power & Telephone Company,Allakaket,"Allakaket, Alatna",1,0,1,0,0,AEA-Village Assessment,PCE Eligible Active,Provides power to Alatna via intertie. Data includes Alatna's information.,ALASPCA,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
