"Sales, Revenue, and Customers by Customer Type by Certified Utilities in Alaska (MWh, $000, Accounts), 1963-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
Year,Notes,Population,Statewide Total,NA,NA,NA,Residential,NA,NA,NA,Commercial and Industrial,NA,NA,NA,Other,NA,NA
NA,NA,NA,Sales (MWh),Sales per Capita (kWh),Revenue ($000),Customers (accounts),Sales (MWh),Sales per Capita (kWh),Revenue ($000),Customers (accounts),Sales (MWh),Sales per Capita (kWh),Revenue ($000),Customers (accounts),Sales (MWh),Revenue ($000),Customers (accounts)
1963,1,249900,516000,2064.8259303721488,18065,54174,233000,932.37294917967188,8553,46239,256000,1024.4097639055622,8603,7472,27000,907,NA
1964,1,253200,562000,2219.5892575039493,18792,57738,253000,999.21011058451813,8762,49358,284000,1121.6429699842022,9105,7943,25000,925,NA
1965,1,265200,616000,2322.7752639517344,20851,59986,277000,1044.4947209653092,9789,51456,312000,1176.4705882352941,10060,8100,27000,1002,NA
1966,1,271500,694000,2556.1694290976061,22818,60554,303000,1116.0220994475137,10548,52019,357000,1314.9171270718232,11049,8110,34000,1221,NA
1967,1,277900,786000,2828.3555235696294,25163,62917,348000,1252.2490104354083,11738,53797,391000,1406.9809283915076,11965,8706,47000,1460,NA
1968,1,284900,841000,2951.9129519129519,26461,65412,366000,1284.6612846612848,12285,55902,411000,1442.6114426114425,12381,9058,64000,1795,NA
1969,1,294600,956000,3245.0780719619825,28239,69938,417000,1415.478615071283,13048,59967,470000,1595.3835709436523,13244,9517,69000,1947,NA
1970,1,308500,1054000,3416.5316045380873,30655,74323,465000,1507.2933549432739,14015,63996,513000,1662.8849270664505,14591,9879,76000,2049,NA
1971,NA,319600,NA,3765.5316045380873,NA,NA,NA,1680.2933549432739,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,329800,NA,4114.5316045380878,NA,NA,NA,1853.2933549432739,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,336400,NA,4463.5316045380878,NA,NA,NA,2026.2933549432739,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,348100,NA,4812.5316045380878,NA,NA,NA,2199.2933549432737,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,1,384100,1982586,5161.6401978651393,62676,103523,910638,2370.8357198646186,30789,89724,NA,NA,NA,NA,NA,NA,NA
1976,1,409800,2250884,5492.6403123474865,85810,114995,1008683,2461.4031234748659,38854,98520,NA,NA,NA,NA,NA,NA,NA
