Year,AEA Sales Reporting ID,Residential Price kWh (2021 dollars),Commercial Price kWh (2021 dollars),Industrial Price kWh (2021 dollars),AK CPI,PCE ID,RCA CPCN,Utility Name,Reporting Name,Intertie Name,AEA Energy Region,ACEP Energy Region
2011,SR-9,NA,88.23341421554122,NA,228.1095,NA,NA,NA,Paxson,NA,Copper River/Chugach,Coastal
2011,SR-195,13.427202005597834,17.63596731866146,26.96020989919315,228.1095,NA,NA,NA,Metlakatla,NA,Southeast,Coastal
2011,SR-194,17.040844239619915,14.846185188719422,NA,228.1095,0,214,"Barrow Utils & Elec Coop, Inc",Barrow Utilities & Electric Cooperative Inc.,Utqiagvik_grid,North Slope,Rural Remote
2011,SR-200,15.614881878376117,15.737999846461951,NA,228.1095,0,111,City of Wrangell - (AK),"Wrangell, City of",SEAPA_grid,Southeast,Coastal
2011,SR-198,14.47404774206256,17.14964146543717,15.784808484657812,228.1095,0,212,Petersburg Borough - (AK),"Petersburg, City of",SEAPA_grid,Southeast,Coastal
2011,SR-199,28.268799765597194,29.9532148132469,24.03482107364715,228.1095,NA,NA,NA,Seward,NA,Railbelt,Railbelt
2011,SR-193,13.923963641898737,13.698214147666269,13.798862190818058,228.1095,0,100,City & Borough of Sitka - (AK),"Sitka, City & Borough of",Sitka_grid,Southeast,Coastal
2011,SR-192,41.82191732637189,36.27947159469983,NA,228.1095,0,10,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",CopperValley_grid,Copper River/Chugach,Coastal
2011,SR-7,27.98044241765612,27.18929094165739,25.520231382961338,228.1095,0,16,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Kodiak_grid,Kodiak,Coastal
2011,SR-6,15.000448765232457,14.229792668173404,12.354398975795668,228.1095,0,103,Ketchikan Public Utilities,Ketchikan Public Utilities,SEAPA_grid,Southeast,Coastal
2011,SR-1,17.792418630461167,14.78892458127986,13.874985161945743,228.1095,0,1,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Juneau_grid,Southeast,Coastal
2011,SR-2,19.150751645215486,14.87322910660183,NA,228.1095,0,121,Anchorage Municipal Light and Power,Anchorage Mun Light and Power,Railbelt_grid,Railbelt,Railbelt
2011,SR-5,29.00831127382544,26.054641483231727,11.807218991708062,228.1095,0,32,Homer Electric Assn Inc,Homer Electric Assn Inc,Railbelt_grid,Railbelt,Railbelt
