Sales Reporting ID,OPERATOR_AEA Operator ID,EIA operator Number,PCE Reporting ID,EIA Sales reporting frequency,PCE Sales reporting frequency,Reporting Name,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities included in reporting,CPCN
SR-14,AEA-002,NA,331030,N/A,M,Akiak,Akiak City Council,003-0000,Akiak_grid,Akiak,1398012,60.9122222,-161.2138889,Lower Yukon-Kuskokwim,Akiak,635
SR-168,AEA-081,NA,332570,N/A,M,Stevens Village,Stevens Village Ira Council,181-0000,Stevens Village_grid,Stevens Village,1410198,66.0063889,-149.0908333,Yukon-Koyukuk/Upper Tanana,Stevens Village,709
SR-186,AEA-100,NA,332880,N/A,M,Venetie,Venetie Village Electric,197-0000,Venetie_grid,Venetie,1411644,67.0138889,-146.4186111,Yukon-Koyukuk/Upper Tanana,Venetie,663
SR-205,AEA-129,42889,NA,A,N/A,Alaska Energy Authority,Alaska Energy Authority,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,Alaska Energy Authority,NA
SR-206,AEA-161,431,NA,A,N/A,Alyeska Seafoods Inc,Alyeska Seafoods Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-207,AEA-173,13880,NA,A,N/A,"NUI Energy Brokers, Inc","NUI Energy Brokers, Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-208,AEA-174,22200,NA,A,N/A,U S Army-Ft Wainwright,U S Army-Ft Wainwright,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,U S Army-Ft Wainwright,NA
SR-209,AEA-126,19553,NA,A,N/A,Unisea Inc,Unisea Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-212,AEA-124,60770,NA,A,N/A,Southeast Alaska Power Agency,Southeast Alaska Power Agency,217-2009,SEAPA_grid,NA,NA,NA,NA,Southeast,Southeast Alaska Power Agency,NA
SR-36,AEA-020,NA,331850,N/A,M,Chenega Bay,Chenega Ira Council,101-0000,Chenega_grid,Chenega Bay,1421254,60.0633333,-148.0113889,Copper River/Chugach,Chenega Bay,686
