"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Operators/Utilities Net Generation by Fuel Type (MWh), 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage (MWH),Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Number of monthly records,Communities connected to plant,Notes
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,63.834099999999992,0,0,408.298,0,0,0,0,7270,0,0,PCE,21,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,648.78099999999995,0,0,0,0,0,0,0,55310,0,0,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,2328.8229999999999,0,0,0,0,0,0,0,174005,0,0,PCE,11,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,1696.0000000000002,0,0,2436,0,0,0,0,123312,0,0,EIA923,24,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,338.01800000000003,0,0,0,0,0,0,0,29780,0,0,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,569.596,0,0,0,0,0,0,0,48363,0,0,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,0,0,0,486.36100000000005,0,0,0,0,0,0,PCE,12,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1987.4159999999999,0,0,0,0,0,0,0,155148,0,0,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,875.9,0,0,0,624.33500000000004,0,0,0,60318,0,0,PCE,14,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,195.17200000000003,0,0,0,0,0,0,0,17213,0,0,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,58373.16,0,0,0,0,0,0,0,3760260,0,0,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,10,0,0,0,0,0,0,0,630,0,0,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,28519.554,0,0,0,0,0,0,1377.4459999999999,2126376,0,0,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,15633,0,0,0,0,0,0,0,484134,0,0,EIA923,12,Unalaska,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,446.21600000000007,0,0,114.539,0,0,0,0,36431,0,0,PCE,24,Akutan,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,543.45848000000001,0,0,0,0,0,0,0,49799,0,0,PCE,11,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,1037.1579999999999,0,0,0,0,0,0,0,75464,0,0,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,29914.516,0,0,0,1907.3629999999998,0,0,0,1865104,0,0,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,3617.6380000000004,0,0,0,744.57500000000005,0,0,0,237769,0,0,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,781.71900000000005,0,0,0,0,0,0,0,63764,0,0,PCE,12,0,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,1188.8190000000002,0,0,0,0,0,0,0,85604,0,0,PCE,12,Brevig Mission,NA
