"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27
"Table 2.5a Revenue, Sales and Customers by Customer Type by Operators/Utilities ($000, MWh, Accounts), 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Reporting ID,PCE ID,CPCN,Utility Name,Reporting Name,Intertie name,AEA Energy Region,Residential Revenue,Residential Sales,Residential Customers,Residential $/kWh,Commercial Revenue,Commercial Sales,Commercial Customers,Commercial $/kWh,Other Revenue,Other Sales,Other Customers,Other $/kWh,Total Revenue,Total Sales,Total Customers,Total $/kWh,Source,Number of monthly records,Communities reported,Notes
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,209.13419999999999,697.11400000000003,193,0.3,350.17680000000001,1167.2560000000001,215,0.3,263.05169999999998,876.83900000000006,39,0.29999999999999993,822.3626999999999,2741.2089999999998,444,0.3,PCE,12,King Cove,Residential rate as reported to PCE
SR-156,332540,749,"SAND POINT GENERATING, LLC",Sand Point,Sand Point_grid,Aleutians,580.73676699166651,1267.039,278,0.45834166666666654,548.46263853333312,1196.6239999999998,89,0.45834166666666659,521.16380886666661,1137.0640000000001,44,0.45834166666666659,1650.3632143916661,3600.7270000000003,401,0.45834166666666648,PCE,12,Sand Point,Residential rate as reported to PCE
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,33.611999999999995,44.815999999999995,14,0.75,47.499000000000002,63.332000000000001,8,0.75,39.912750000000003,53.216999999999999,6,0.75000000000000011,121.02375000000001,161.36500000000001,28,0.75,PCE,12,Nikolski,Residential rate as reported to PCE
SR-24,331750,291,"Atka, City of",Atka,Atka_grid,Aleutians,82.207964999999987,123.621,31,0.66499999999999992,104.231435,156.73900000000003,8,0.66499999999999992,61.521810000000002,92.51400000000001,24,0.66499999999999992,247.96120999999999,373.92599999999999,64,0.66312909506158968,PCE,12,Atka,Residential rate as reported to PCE
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,161.91514999999998,170.43700000000001,40,0.94999999999999984,176.45394999999999,185.74100000000001,23,0.94999999999999984,89.075799999999987,93.763999999999996,12,0.95,427.44489999999996,449.94200000000001,74,0.94999999999999984,PCE,12,Akutan,Residential rate as reported to PCE
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,114.03923999999999,135.761,32,0.84,64.991640000000004,77.371000000000009,19,0.84,37.71096,44.893999999999998,10,0.84000000000000008,216.74184,258.02600000000001,59,0.84,PCE,12,Nelson Lagoon,Residential rate as reported to PCE
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,1545.2858914250005,3879.9470000000001,757,0.3982750000000001,19638.878119100005,49309.843999999997,183,0.3982750000000001,1465.5815053250003,3679.8229999999999,70,0.3982750000000001,22649.745515850005,56869.614000000001,1009,0.3982750000000001,PCE,12,Unalaska,Residential rate as reported to PCE
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,141.39000000000001,141.39000000000001,40,1,65.337000000000003,65.337000000000003,13,1,241.13499999999999,241.13499999999999,21,1,447.86199999999997,456.32700000000006,77,0.98144970602221637,PCE,12,Saint George,Residential rate as reported to PCE
SR-155,332560,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,295.10264166666656,701.23399999999992,152,0.42083333333333323,570.15004999999985,1354.8119999999999,33,0.42083333333333328,452.88736666666648,1076.1679999999999,48,0.42083333333333323,1318.1400583333329,3132.2139999999999,233,0.42083333333333323,PCE,12,Saint Paul,Residential rate as reported to PCE
SR-48,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,104.87948825454545,156.05799999999999,38,0.67205454545454546,371.35113169090903,552.56099999999992,25,0.67205454545454546,727.97620418181816,1083.21,56,0.67205454545454546,1204.2068241272727,1791.829,119,0.67205454545454546,PCE,12,Cold Bay,Residential rate as reported to PCE
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,259.28028945,241.78700000000003,114,1.0723499999999999,497.39775165000003,463.83900000000006,74,1.0723499999999999,499.68829124999996,465.97500000000002,25,1.0723499999999999,1256.36633235,1171.6009999999999,213,1.0723500000000001,PCE,12,Adak,Residential rate as reported to PCE
SR-63,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,54.389449274999997,118.791,29,0.45785833333333331,142.85958359166665,312.017,13,0.45785833333333326,36.403400366666666,79.50800000000001,15,0.45785833333333326,233.65243323333331,521.947,57,0.44765547696094299,PCE,12,False Pass,Residential rate as reported to PCE
