"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Net Generation by Prime Mover by Operators/Utilities (MWh), 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK PLANT ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Net Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0,446.21600000000007,114.539,0,0,0,0,560.755,PCE,24,Akutan,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,0,63.834099999999992,408.298,0,0,0,0,472.13209999999998,PCE,21,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0,648.78099999999995,0,0,0,0,0,648.78099999999995,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0,2328.8229999999999,0,0,0,0,0,2328.8229999999999,PCE,11,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,0,1696.0000000000002,2436,0,0,0,0,4132,EIA923,24,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0,338.01800000000003,0,0,0,0,0,338.01800000000003,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,0,569.596,0,0,0,0,0,569.596,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,0,0,0,486.36100000000005,0,0,486.36100000000005,PCE,12,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,0,1987.4159999999999,0,0,0,0,0,1987.4159999999999,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0,875.9,0,0,624.33500000000004,0,0,1500.2349999999997,PCE,14,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0,195.17200000000003,0,0,0,0,0,195.17200000000003,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,0,58373.16,0,0,0,0,0,58373.16,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,0,10,0,0,0,0,0,10,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,0,29896.999999999996,0,0,0,0,0,29896.999999999996,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,0,15633,0,0,0,0,0,15633,EIA923,12,Unalaska,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P287,0,Peter Pan Seafoods,King Cove,King Cove_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,King Cove,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0,543.45848000000001,0,0,0,0,0,543.45848000000001,PCE,11,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,0,1037.1579999999999,0,0,0,0,0,1037.1579999999999,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,0,29914.516,0,0,1907.3629999999998,0,0,31821.878999999994,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,0,3617.6380000000004,0,0,744.57500000000005,0,0,4362.2129999999997,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,0,781.71900000000005,0,0,0,0,0,781.71900000000005,PCE,12,NA,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0,1188.8190000000002,0,0,0,0,0,1188.8190000000002,PCE,12,Brevig Mission,NA
P50,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0,1284.9549999999999,0,0,0,0,0,1284.9549999999999,PCE,12,Elim,NA
P52,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,0,1415.1869999999999,0,0,570.10800000000006,0,0,1985.2950000000001,PCE,24,Gambell,NA
