AEA Reporting ID,Community Name,Source,Number of monthly records,Communities reported,Notes
SR-1,Juneau,EIA861,12,"Juneau, Douglas, Greens Creek (Industrial)",NA
SR-10,Deadhorse,EIA861,12,Deadhorse,NA
SR-100,Koyuk,PCE,12,Koyuk,NA
SR-101,Koyukuk,PCE,9,Koyukuk,NA
SR-102,Kwethluk,PCE,12,Kwethluk,NA
SR-103,Kwigillingok,PCE,12,Kwigillingok,NA
SR-104,Larsen Bay,PCE,12,Larsen Bay,NA
SR-105,Levelock,PCE,10,Levelock,NA
SR-106,Lime Village,PCE,7,Lime Village,NA
SR-107,Lower Kalskag,PCE,12,Lower Kalskag,NA
SR-108,Manley Hot Springs,PCE,12,Manley Hot Springs,NA
SR-109,Manokotak,PCE,6,Manokotak,NA
SR-11,Adak,PCE,12,Adak,NA
SR-110,Marshall,PCE,12,Marshall,NA
SR-111,McGrath,PCE,12,McGrath,NA
SR-112,Mekoryuk,PCE,12,Mekoryuk,NA
SR-113,Mentasta Lake,PCE,12,Mentasta Lake,NA
SR-114,Minto,PCE,12,Minto,Did not report any commercial sales.
SR-115,Mountain Village,PCE,12,Mountain Village,NA
SR-116,Naknek,PCE,12,"Naknek, South Naknek, King Salmon",NA
SR-117,Napakiak,PCE,12,Napakiak,NA
SR-118,Napaskiak,PCE,12,Napaskiak,NA
SR-119,Naukati Bay,PCE,12,Naukati Bay,NA
SR-12,Akhiok,PCE,12,Akhiok,NA
SR-120,Nelson Lagoon,PCE,12,Nelson Lagoon,NA
SR-121,New Stuyahok,PCE,12,New Stuyahok,NA
SR-122,Newtok,PCE,11,Newtok,NA
SR-123,Nightmute,PCE,12,Nightmute,NA
SR-124,Nikolai,PCE,11,Nikolai,NA
SR-125,Nikolski,PCE,12,Nikolski,NA
SR-126,Noatak,PCE,12,Noatak,NA
SR-127,Nome,PCE,12,Nome,NA
SR-128,Noorvik,PCE,12,Noorvik,NA
SR-129,Northway,PCE,12,"Northway, Northway Village, Northway Junction",NA
SR-13,Akiachak,PCE,12,Akiachak,NA
SR-130,Nuiqsut,PCE,12,Nuiqsut,NA
SR-131,Nulato,PCE,12,Nulato,Did not report any commercial sales.
SR-132,Nunam Iqua,PCE,12,Nunam Iqua,NA
SR-133,Nunapitchuk,PCE,12,Nunapitchuk,NA
SR-134,Old Harbor,PCE,12,Old Harbor,Did not report any commercial sales.
SR-135,Ouzinkie,PCE,12,Ouzinkie,NA
SR-136,Pedro Bay,PCE,12,Pedro Bay,NA
SR-139,Pilot Point,PCE,12,Pilot Point,NA
SR-14,Akiak,PCE,12,Akiak,NA
SR-140,Pilot Station,PCE,12,Pilot Station,NA
