"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
"Table 2.5c  Average Residential Rates and PCE Payments ($/kWh), 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reporter ID,PCE ID,CPCN,Utility Name,Community Name,Intertie,AEA Energy Region,Residential Rate ($/kWh),PCE Residential Reimbursement Rate ($/kWh),Residential Rate after PCE ($/kWh),Percent of Residential Rate Covered by PCE Reimbursement,"PCE Community
(Y/N)",Source,Number of monthly records,Communities reported,Notes
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,0.3,2.877777777778201E-3,0.29712222222222179,9.5925925925940039E-3,Yes,PCE,12,King Cove,NA
SR-156,332540,749,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0.45834166666666659,0.23210833333333353,0.22623333333333306,0.50640897438228449,Yes,PCE,12,Sand Point,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0.75,0.57875000000000099,0.17124999999999901,0.77166666666666794,Yes,PCE,12,Nikolski,NA
SR-24,331750,291,Andreanof Electric Corp,Atka,Atka_grid,Aleutians,0.66499999999999992,0.25600000000000017,0.40899999999999975,0.38496240601503789,Yes,PCE,12,Atka,NA
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0.94999999999999984,0.77875000000000083,0.17124999999999901,0.81973684210526421,Yes,PCE,12,Akutan,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0.84,0.56821666666666726,0.27178333333333277,0.67644841269841338,Yes,PCE,12,Nelson Lagoon,NA
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0.3982750000000001,0.13059166666666688,0.26768333333333322,0.32789320611805123,Yes,PCE,12,Unalaska,NA
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,1,0.75750000000000006,0.24249999999999997,0.75750000000000006,Yes,PCE,12,Saint George,NA
SR-155,332560,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0.42083333333333323,0.24958333333333396,0.17124999999999926,0.59306930693069471,Yes,PCE,12,Saint Paul,NA
SR-48,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0.67205454545454546,0.45971818181818225,0.21233636363636321,0.68404891377864419,Yes,PCE,12,Cold Bay,NA
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1.0723499999999999,0.47791666666666666,0.59443333333333326,0.44567227739699417,Yes,PCE,12,Adak,NA
SR-63,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0.45785833333333331,0.13439999999999996,0.32345833333333335,0.29354057841763276,Yes,PCE,12,False Pass,NA
SR-184,332850,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,0.44106666666666666,0.1662333333333334,0.27483333333333326,0.37688935912938348,Yes,PCE,12,Unalakleet,NA
SR-190,332890,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,0.54999999999999993,0.26315833333333333,0.28684166666666661,0.47846969696969699,Yes,PCE,12,White Mountain,NA
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,0.50148333333333339,0.28037500000000004,0.22110833333333332,0.55909136229186751,Yes,PCE,12,Koyuk,NA
SR-154,331670,169,Alaska Village Electric Cooperative,Saint Michael,Stebbins_grid,Bering Straits,0.4837749999999999,0.26356666666666673,0.2202083333333332,0.54481249892339778,Yes,PCE,12,Saint Michael,NA
SR-157,331590,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,0.48987500000000006,0.25710000000000011,0.23277499999999995,0.52482776218423077,Yes,PCE,12,Savoonga,NA
SR-161,331630,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,0.48000000000000004,0.22741666666666671,0.25258333333333333,0.47378472222222229,Yes,PCE,12,Shaktoolik,NA
SR-162,331640,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,0.51383333333333325,0.29210000000000047,0.22173333333333278,0.56847226727213851,Yes,PCE,12,Shishmaref,NA
SR-167,331680,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,0.4837749999999999,0.26356666666666673,0.2202083333333332,0.54481249892339778,Yes,PCE,12,Stebbins,NA
SR-188,331730,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,0.52133333333333343,0.2992666666666669,0.2220666666666665,0.5740409207161129,Yes,PCE,12,Wales,NA
SR-31,331270,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0.47301666666666681,0.2533500000000003,0.21966666666666648,0.53560480603220506,Yes,PCE,12,Brevig Mission,NA
SR-61,331300,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0.5203333333333332,0.2982916666666674,0.2220416666666658,0.57327033952594642,Yes,PCE,12,Elim,NA
SR-66,331320,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,0.51603333333333323,0.26428333333333326,0.25174999999999997,0.51214391835152762,Yes,PCE,12,Gambell,NA
SR-54,331930,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0.65000000000000013,0.23899090909090925,0.41100909090909088,0.36767832167832187,Yes,PCE,3,Diomede,NA
SR-173,331685,61,Teller Power Company,Teller,Teller_grid,Bering Straits,0.54778333333333329,0.32432500000000064,0.22345833333333262,0.59206803176438494,Yes,PCE,12,Teller,NA
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,0.34234999999999999,0.10469166666666679,0.23765833333333319,0.30580302809016152,Yes,PCE,12,Nome,NA
SR-67,332000,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,0.37999999999999995,0.14881666666666665,0.2311833333333333,0.39162280701754387,Yes,PCE,12,Golovin,NA
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,0.54999999999999993,0.22951666666666665,0.32048333333333329,0.41730303030303034,Yes,PCE,12,Manokotak,NA
SR-183,332730,729,Twin Hills Village Council,Twin Hills,Twin Hills_grid,Bristol Bay,0.50770833333333332,0.25641666666666696,0.25129166666666636,0.50504718916700919,Yes,PCE,12,Twin Hills,NA
SR-145,332590,447,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth_grid,Bristol Bay,0.50612500000000016,0.30595833333333355,0.20016666666666663,0.60451140199226172,Yes,PCE,12,Port Alsworth,NA
SR-138,332470,659,Native Village of Perryville,Perryville,Perryville_grid,Bristol Bay,0,0,0,0,Yes,0,0,Perryville,NA
SR-39,331870,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,0.57844166666666663,0.27215000000000028,0.30629166666666635,0.47048823707374748,Yes,PCE,12,Chignik Lagoon,NA
SR-80,332040,681,Igiugig Electric Company,Igiugig,Igiugig_grid,Bristol Bay,0.89549166666666691,0.62164166666666709,0.27384999999999987,0.69419034236313415,Yes,PCE,12,Igiugig,NA
SR-58,331940,320,Egegik Light & Power Co,Egegik,Egegik_grid,Bristol Bay,0.65000000000000013,0.42030000000000012,0.22970000000000002,0.6466153846153847,Yes,PCE,12,Egegik,NA
SR-121,331480,169,Alaska Village Electric Cooperative,New Stuyahok,New_Stuyahok_grid,Bristol Bay,0.57263333333333344,0.34796666666666731,0.22466666666666613,0.60766051574596991,Yes,PCE,12,New Stuyahok,NA
SR-177,331690,169,Alaska Village Electric Cooperative,Togiak,Togiak_grid,Bristol Bay,0.50403333333333322,0.28279166666666677,0.22124166666666648,0.5610574697440649,Yes,PCE,6,Togiak,NA
SR-38,331860,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,0.42475000000000002,0.24475000000000008,0.17999999999999994,0.57622130665097138,Yes,PCE,11,Chignik,NA
SR-146,332500,399,Port Heiden Utilities,Port Heiden,Port Heiden_grid,Bristol Bay,0.65000000000000013,0.32125000000000015,0.32874999999999999,0.49423076923076936,Yes,PCE,12,Port Heiden,NA
SR-105,332180,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,0.84999999999999976,0.37193333333333334,0.47806666666666642,0.43756862745098052,Yes,PCE,12,Levelock,NA
SR-40,331880,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,0.85333333333333339,0.43230000000000046,0.42103333333333293,0.50660156250000055,Yes,PCE,12,Chignik Lake,NA
SR-46,331910,360,"Clark's Point, City of",Clark's Point,Clark's Point_grid,Bristol Bay,1.0415166666666666,0.62855000000000016,0.41296666666666643,0.60349490326607047,Yes,PCE,12,Clark's Point,NA
SR-139,332480,425,Pilot Point Electric Utility,Pilot Point,Pilot Point_grid,Bristol Bay,0.59999999999999987,0.30924166666666691,0.29075833333333295,0.51540277777777832,Yes,PCE,12,Pilot Point,NA
SR-81,332050,280,"I-N-N Electric Coop, Inc",Iliamna,Newhalen_grid,Bristol Bay,0.61,0.37794166666666718,0.23205833333333278,0.6195765027322413,Yes,PCE,12,"Iliamna, Newhalen, Nondalton",NA
SR-136,332450,662,Pedro Bay Village Council,Pedro Bay,Pedro Bay_grid,Bristol Bay,0.81250000000000033,0.35385833333333389,0.45864166666666645,0.43551794871794924,Yes,PCE,12,Pedro Bay,NA
SR-95,332100,660,Kokhanok Village Council,Kokhanok,Kokhanok_grid,Bristol Bay,0.90000000000000024,0.5964250000000002,0.30357500000000009,0.66269444444444447,Yes,PCE,12,Kokhanok,NA
SR-59,331950,688,City of Ekwok,Ekwok,New_Stuyahok_grid,Bristol Bay,0.61819166666666681,0.3912500000000001,0.22694166666666671,0.63289432888936825,Yes,PCE,3,Ekwok,NA
SR-96,332110,661,New Koliganek Village Council,Koliganek,Koliganek_grid,Bristol Bay,0.5,0.22343333333333382,0.27656666666666618,0.44686666666666763,Yes,PCE,12,Koliganek,NA
SR-116,332280,22,Naknek Electric Association,Naknek,Naknek_grid,Bristol Bay,0.48256666666666675,0.27580833333333343,0.20675833333333329,0.57154451889203572,Yes,PCE,12,"Naknek, South Naknek, King Salmon",NA
SR-53,332430,45,Nushagak Electric Cooperative,Dillingham,Dillingham_grid,Bristol Bay,0.4091833333333334,0.16460833333333363,0.24457499999999976,0.40228503930593523,Yes,PCE,12,"Dillingham, Aleknagik",NA
