"Early Release, Subject to Revision",...2,...3,...4,...5
"Communities Participating in Power Cost Equalization Program by AEA Energy Regions, 2017",NA,NA,NA,NA
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program
Aleutians,13,0,0,1
Bering Straits,16,0,0,1
Bristol Bay,26,1,0,0.96296296296296291
Copper River/Chugach,8,0,15,1
Kodiak,5,0,5,1
Lower Yukon-Kuskokwim,48,0,0,1
North Slope,7,0,2,1
Northwest Arctic,11,0,0,1
Railbelt,0,0,95,NA
Southeast,22,1,6,0.95652173913043481
Yukon-Koyukuk/Upper Tanana,42,0,1,1
Total,192,6,124,NA
"Some utilities, both in urban and rural Alaska, serve multiple communities.",NA,NA,NA,NA
