"Reporter ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Source","Number of monthly records","Communities reported","Notes"
"SR-89","332070","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","0.29999999999999993","1.3683333333333214E-2","0.28631666666666672","4.5611111111110721E-2","Yes","PCE","12","King Cove",NA
"SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","0.47203333333333336","0.23695833333333341","0.23507499999999995","0.50199491561330423","Yes","PCE","12","Sand Point",NA
"SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","0.75","0.58755000000000002","0.16245000000000004","0.78339999999999999","Yes","PCE","12","Nikolski",NA
"SR-24","331750","291","Andreanof Electric Corp","Atka","Atka_grid","Aleutians","0.70499999999999996","0.38941666666666674","0.31558333333333322","0.55236406619385359","Yes","PCE","12","Atka",NA
"SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","0.47975000000000007","0.31730000000000003","0.16245000000000004","0.66138613861386131","Yes","PCE","12","Akutan",NA
"SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","0.84","0.62270000000000014","0.21729999999999985","0.74130952380952397","Yes","PCE","12","Nelson Lagoon",NA
"SR-185","332860","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","0.35445833333333338","0.11280000000000007","0.24165833333333331","0.31823204419889517","Yes","PCE","12","Unalaska",NA
"SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","1","0.61767499999999997","0.38232500000000008","0.61767499999999997","Yes","PCE","12","Saint George",NA
"SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","0.41250000000000003","0.24671666666666667","0.16578333333333337","0.59810101010101002","Yes","PCE","12","Saint Paul",NA
"SR-48","331980","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","0.69369999999999998","0.48333999999999994","0.21036000000000005","0.69675652299264801","Yes","PCE","12","Cold Bay",NA
"SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","1.2233500000000002","0.66480000000000017","0.55854999999999999","0.54342583888502893","Yes","PCE","6","Adak",NA
"SR-63","331970","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","0.45229166666666659","0.16085833333333327","0.29143333333333332","0.3556517733763242","Yes","PCE","12","False Pass",NA
"SR-184","332850","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","0.40886666666666666","0.19394999999999993","0.21491666666666673","0.4743600195662806","Yes","PCE","12","Unalakleet",NA
"SR-190","332890","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","0.59083333333333321","0.24793333333333317","0.34290000000000004","0.41963328631875862","Yes","PCE","12","White Mountain",NA
"SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","0.53398333333333337","0.31595833333333345","0.21802499999999994","0.59170073972346227","Yes","PCE","12","Koyuk",NA
"SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","0.51674166666666677","0.29955000000000009","0.21719166666666664","0.57969004499346877","Yes","PCE","12","Saint Michael",NA
"SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","0.51411666666666656","0.28813333333333324","0.22598333333333334","0.56044347910655812","Yes","PCE","12","Savoonga",NA
"SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","0.45272499999999999","0.21510000000000001","0.23762499999999998","0.4751228670826661","Yes","PCE","12","Shaktoolik",NA
"SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","0.57023333333333337","0.35038333333333338","0.21985000000000002","0.61445607061436847","Yes","PCE","12","Shishmaref",NA
"SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","0.51674166666666677","0.29955000000000009","0.21719166666666664","0.57969004499346877","Yes","PCE","12","Stebbins",NA
"SR-188","331730","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","0.57143333333333324","0.3515083333333332","0.21992500000000001","0.61513445721285642","Yes","PCE","12","Wales",NA
"SR-31","331270","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","0.59536666666666671","0.37423333333333342","0.22113333333333332","0.62857622753485254","Yes","PCE","12","Brevig Mission",NA
"SR-61","331300","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","0.55071666666666674","0.3318500000000002","0.21886666666666657","0.60257845837242408","Yes","PCE","12","Elim",NA
"SR-66","331320","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","0.51217499999999994","0.27968333333333328","0.23249166666666662","0.54606986544312652","Yes","PCE","6","Gambell",NA
"SR-54","331930","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","0.65","0.22960000000000003","0.4204","0.35323076923076924","Yes","PCE","12","Diomede",NA
"SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","0.63855833333333345","0.41528333333333356","0.22327499999999992","0.65034517859240237","Yes","PCE","4","Teller",NA
"SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","0.35974999999999996","0.12448333333333336","0.2352666666666666","0.34602733379661815","Yes","PCE","12","Nome",NA
"SR-67","332000","373","Golovin Power Utilities","Golovin","Golovin_grid","Bering Straits","0.38999999999999996","0.21009999999999993","0.17990000000000003","0.53871794871794854","Yes","PCE","12","Golovin",NA
"SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","0.54999999999999993","0.24349999999999977","0.30650000000000016","0.44272727272727236","Yes","PCE","12","Manokotak",NA
"SR-183","332730","729","Twin Hills Village Council","Twin Hills","Twin Hills_grid","Bristol Bay","0.66725000000000001","0.22700833333333331","0.4402416666666667","0.34021481203946541","Yes","PCE","12","Twin Hills",NA
"SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","0.53109166666666674","0.32046666666666668","0.21062500000000003","0.60341121275360499","Yes","PCE","12","Port Alsworth",NA
"SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","0.95","0.27639999999999987","0.67360000000000009","0.29094736842105251","Yes","PCE","1","Perryville",NA
"SR-39","331870","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","0.58537499999999998","0.31617500000000004","0.26919999999999994","0.54012385223147563","Yes","PCE","12","Chignik Lagoon",NA
"SR-80","332040","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","0.80966666666666676","0.47927500000000012","0.33039166666666664","0.591941128036229","Yes","PCE","12","Igiugig",NA
"SR-58","331940","320","Egegik Light & Power Co","Egegik","Egegik_grid","Bristol Bay","0.70833333333333348","0.31787500000000019","0.3904583333333333","0.44876470588235312","Yes","PCE","12","Egegik",NA
"SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","0.60279999999999989","0.3812833333333332","0.2215166666666667","0.63252046007520446","Yes","PCE","12","New Stuyahok",NA
"SR-177","331690","169","Alaska Village Electric Cooperative","Togiak","Togiak_grid","Bristol Bay","0.53294166666666676","0.31495833333333334","0.21798333333333339","0.59098087658123921","Yes","PCE","12","Togiak",NA
