"Early Release, Subject to Revision",...2,...3,...4
"Fuel Use for Power Generation by Operators/Utilities by AEA Energy Regions, 2016",NA,NA,NA
NA,Oil,Gas,Coal
AEA Energy Region,(Gallons),(Mcf),(Short Tons)
Aleutians,6667633,0,0
Bering Straits,3280552,0,0
Bristol Bay,3698788,0,0
Copper River/Chugach,3277896,0,0
Kodiak,185829,0,0
Lower Yukon-Kuskokwim,6850509,0,0
North Slope,2275648,1853904,0
Northwest Arctic,2198317,0,0
Railbelt,33429522,27401953,443129
Southeast,1851285,0,0
Yukon-Koyukuk/Upper Tanana,2760390,0,0
Total (Physical Units),66476369,29255857,443129
Conversion Factor,0.13900000000000001,1.0249999999999999,19.536000000000001
Total MMBtu,9240215.2910000011,29987253.424999997,8656968.1440000013
Percent ot Statewide MMBtu Total,0.19296907089072951,0.62624216533388288,0.18078876377538758
