"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27
"Table 2.5a Revenue, Sales and Customers by Customer Type by Operators/Utilities ($000, MWh, Accounts), 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Reporting ID,PCE ID,CPCN,Utility Name,Reporting Name,Intertie name,AEA Energy Region,Residential Revenue,Residential Sales,Residential Customers,Residential $/kWh,Commercial Revenue,Commercial Sales,Commercial Customers,Commercial $/kWh,Other Revenue,Other Sales,Other Customers,Other $/kWh,Total Revenue,Total Sales,Total Customers,Total $/kWh,Source,Number of monthly records,Communities reported,Notes
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,299.58089999999993,998.60300000000007,194,0.29999999999999993,483.40019999999993,1611.3340000000001,213,0.29999999999999993,333.96299999999985,1113.2099999999998,64,0.29999999999999993,1116.9440999999997,3723.1469999999999,468,0.29999999999999993,PCE,12,King Cove,Residential rate as reported to PCE
SR-156,332540,749,"SAND POINT GENERATING, LLC",Sand Point,Sand Point_grid,Aleutians,601.81984240000008,1274.952,281,0.47203333333333342,575.47613410000008,1219.143,75,0.47203333333333342,490.19623193333331,1038.4779999999998,58,0.47203333333333336,1667.4922084333334,3532.5730000000003,411,0.4720333333333333,PCE,12,Sand Point,Residential rate as reported to PCE
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,34.212000000000003,45.616000000000007,15,0.75,46.827749999999995,62.436999999999998,7,0.74999999999999989,39.916500000000006,53.222000000000008,10,0.75,120.95625,161.27499999999998,31,0.75000000000000011,PCE,12,Nikolski,Residential rate as reported to PCE
SR-24,331750,291,"Atka, City of",Atka,Atka_grid,Aleutians,102.31665,145.13,30,0.70499999999999996,101.43822,143.88400000000001,8,0.70499999999999996,71.911409999999989,102.002,36,0.70499999999999996,275.66627999999997,392.13300000000004,75,0.70299179105048526,PCE,12,Atka,Residential rate as reported to PCE
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,83.434761750000007,173.91299999999998,38,0.47975000000000007,90.354196000000002,188.33599999999998,24,0.47975000000000007,59.022203250000018,123.02700000000002,22,0.47975000000000007,232.81116100000003,485.27600000000001,84,0.47975000000000007,PCE,12,Akutan,Residential rate as reported to PCE
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,105.62411999999999,125.74299999999999,32,0.84,70.354199999999992,83.754999999999995,19,0.84,33.473999999999997,39.849999999999994,10,0.84000000000000008,209.45231999999999,249.34800000000001,61,0.83999999999999986,PCE,12,Nelson Lagoon,Residential rate as reported to PCE
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,1340.4515345833336,3781.6900000000005,757,0.35445833333333338,13794.123185333334,38916.063999999998,177,0.35445833333333338,1260.6891936666668,3556.6639999999998,118,0.35445833333333338,16395.263913583334,46254.418000000005,1048,0.35445833333333332,PCE,12,Unalaska,Residential rate as reported to PCE
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,135.19299999999998,135.19299999999998,39,1,80.829000000000008,80.829000000000008,13,1,220.91800000000001,220.91800000000001,14,1,436.94,453.59099999999989,68,0.96329071784934028,PCE,12,Saint George,Residential rate as reported to PCE
SR-155,332560,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,296.519025,718.83399999999995,149,0.41250000000000003,572.41222500000015,1387.6660000000002,33,0.41250000000000003,470.53792499999997,1140.6979999999999,62,0.41250000000000003,1339.4691750000002,3247.1980000000003,244,0.41250000000000003,PCE,12,Saint Paul,Residential rate as reported to PCE
SR-48,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,85.189828500000004,122.80500000000001,38,0.69369999999999998,403.59812850000003,581.80500000000006,25,0.69369999999999998,648.04066599999999,934.18000000000006,8,0.69369999999999998,1136.8286230000001,1638.79,71,0.69370000000000009,PCE,12,Cold Bay,Residential rate as reported to PCE
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,358.79020474999999,293.28499999999997,96,1.2233500000000002,710.71374595000009,580.95699999999999,74,1.2233500000000002,617.09933390000003,504.43399999999997,14,1.2233500000000002,1686.6032846000001,1378.6759999999999,180,1.2233500000000002,PCE,6,Adak,Residential rate as reported to PCE
SR-63,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,51.263189791666655,113.34099999999999,29,0.45229166666666659,127.9379345833333,282.86599999999999,13,0.45229166666666659,33.384552499999991,73.811999999999998,22,0.45229166666666654,212.58567687499996,483.90700000000004,136,0.43931101818117935,PCE,12,False Pass,Residential rate as reported to PCE
SR-184,332850,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,570.36695566666674,1394.9950000000001,291,0.40886666666666671,669.19984180000006,1636.7190000000001,41,0.40886666666666671,371.81844026666664,909.38799999999992,44,0.40886666666666666,1611.3852377333333,3942.2720000000004,371,0.40874532191927221,PCE,12,Unalakleet,Residential rate as reported to PCE
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,259.61628886666671,486.18800000000005,107,0.53398333333333337,100.82459706666668,188.81600000000003,11,0.53398333333333337,300.04737093333335,561.904,22,0.53398333333333337,660.48825686666669,1236.9080000000001,139,0.53398333333333325,PCE,12,Koyuk,Residential rate as reported to PCE
SR-154,331670,169,Alaska Village Electric Cooperative,Saint Michael,Stebbins_grid,Bering Straits,282.01848222500001,545.76299999999992,125,0.51674166666666677,138.68157827500002,268.37700000000001,24,0.51674166666666677,501.80059811666683,971.08600000000013,22,0.51674166666666677,922.5006586166669,1785.2260000000001,171,0.51674166666666677,PCE,12,Saint Michael,Residential rate as reported to PCE
SR-157,331590,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,470.51905921666656,915.19899999999996,163,0.51411666666666656,79.585259999999977,154.79999999999998,20,0.51411666666666656,619.83190624999986,1205.625,20,0.51411666666666656,1169.9362254666664,2275.6239999999998,199,0.51411666666666656,PCE,12,Savoonga,Residential rate as reported to PCE
SR-161,331630,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,193.034243675,426.38299999999998,138,0.45272500000000004,66.531107824999992,146.95699999999999,12,0.45272499999999999,187.79530997500001,414.81100000000004,12,0.45272499999999999,447.36066147500003,988.15100000000018,159,0.45272499999999993,PCE,12,Shaktoolik,Residential rate as reported to PCE
SR-162,331640,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,408.57332380000008,716.50200000000007,148,0.57023333333333337,169.34333346666668,296.97199999999998,19,0.57023333333333337,341.81382653333344,599.42800000000011,20,0.57023333333333337,919.73048380000023,1612.9019999999998,185,0.57023333333333359,PCE,12,Shishmaref,Residential rate as reported to PCE
SR-167,331680,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,341.87628666666677,661.6,228,0.51674166666666677,119.55128503333337,231.35600000000002,21,0.51674166666666677,297.98063230833338,576.65300000000002,26,0.51674166666666677,759.40820400833354,1469.6090000000002,273,0.51674166666666677,PCE,12,Stebbins,Residential rate as reported to PCE
SR-188,331730,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,128.75535866666667,225.32000000000002,145,0.57143333333333324,34.568859499999995,60.495000000000005,16,0.57143333333333324,183.44381439999998,321.024,10,0.57143333333333324,346.76803256666665,606.83900000000006,167,0.57143333333333324,PCE,12,Wales,Residential rate as reported to PCE
SR-31,331270,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,298.1757015666667,500.827,91,0.59536666666666671,17.4180472,29.255999999999997,17,0.59536666666666671,342.60017613333332,575.44399999999996,22,0.59536666666666671,658.19392489999996,1105.527,122,0.5953666666666666,PCE,12,Brevig Mission,Residential rate as reported to PCE
SR-61,331300,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,254.85349968333335,462.767,170,0.55071666666666674,102.70645546666668,186.49600000000001,17,0.55071666666666674,318.82805198333335,578.93299999999999,22,0.55071666666666674,676.38800713333342,1228.1959999999999,207,0.55071666666666674,PCE,12,Elim,Residential rate as reported to PCE
SR-66,331320,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,394.71995594999999,770.67400000000009,165,0.51217499999999994,88.073612999999995,171.96,18,0.51217499999999994,449.61589679999992,877.85599999999999,26,0.51217499999999994,932.40946574999987,1820.49,206,0.51217499999999994,PCE,6,Gambell,Residential rate as reported to PCE
SR-54,331930,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,25.244699999999998,38.837999999999994,38,0.65,21.218599999999999,32.643999999999998,9,0.65,4.2243500000000003,6.4990000000000006,10,0.65,50.687649999999998,81.146999999999991,59,0.62463985113436116,PCE,12,Diomede,Residential rate as reported to PCE
SR-173,331685,61,Alaska Village Electric Cooperative,Teller,Teller_grid,Bering Straits,189.85233231666672,297.31400000000002,119,0.63855833333333345,35.956581191666679,56.309000000000005,13,0.63855833333333345,274.25250290833338,429.48699999999997,14,0.63855833333333345,500.06141641666676,783.11,145,0.63855833333333345,PCE,4,Teller,Residential rate as reported to PCE
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,3015.9785149999993,8383.5399999999991,1718,0.35974999999999996,3040.6275057499997,8452.0570000000007,322,0.35974999999999996,4319.2869307499996,12006.357,166,0.35974999999999996,10375.892951499998,28841.953999999998,2200,0.35974999999999996,PCE,12,Nome,Residential rate as reported to PCE
SR-67,332000,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,95.268029999999968,244.27699999999996,52,0.38999999999999996,190.32974999999996,488.02499999999998,36,0.38999999999999996,51.88794,133.04600000000002,22,0.38999999999999996,337.4857199999999,895.31499999999994,111,0.37694634849187147,PCE,12,Golovin,Residential rate as reported to PCE
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,324.18759999999997,589.43200000000002,146,0.54999999999999993,103.68984999999998,188.52699999999999,27,0.54999999999999993,214.97904999999997,390.87099999999998,14,0.54999999999999993,642.85649999999987,1213.7809999999999,189,0.5296313750174042,PCE,12,Manokotak,Residential rate as reported to PCE
SR-183,332730,729,Twin Hills Village Council,Twin Hills,Twin Hills_grid,Bristol Bay,61.387000000000008,92.000000000000014,31,0.66725000000000001,65.277067500000001,97.83,5,0.66725000000000001,25.984049500000001,38.942,10,0.66725000000000001,152.64811700000001,246.04300000000001,48,0.62041235475099887,PCE,12,Twin Hills,Residential rate as reported to PCE
SR-145,332590,447,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth_grid,Bristol Bay,163.94268658333334,308.69,87,0.53109166666666674,208.33292135833338,392.27300000000002,51,0.53109166666666674,42.08742130833334,79.247,0,0.53109166666666674,414.36302925000007,780.21000000000015,132,0.53109166666666663,PCE,12,Port Alsworth,Residential rate as reported to PCE
