"Utility Name","Community Name","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","source","Notes"
"Akiachak Native Community","Akiachak","3915","2350","0.6","9778","5833","0.6","40857","24524","0.6","pce",NA
"Akiak City Council","Akiak","3208","2021","0.63","31667","19933","0.63","16231","10231","0.63","pce",NA
"Akutan, City of","Akutan","4829","1561","0.32","12563","4063","0.32","6583","2083","0.32","pce",NA
"Alaska Electric Light & Power Company","Juneau","10225","1220","0.12","59697","5914","0.1","1352191","127585","0.09","eia",NA
"Alaska Power & Telephone Company","Allakaket, Alatna","3028","2931","0.96","11438","11063","0.96","14500","14000","0.96","pce",NA
"Alaska Power & Telephone Company","Bettles, Evansville","4133","3100","0.75","6545","4818","0.75","16000","11952","0.75","pce",NA
"Alaska Power & Telephone Company","Chistochina","3735","2612","0.7","8133","5667","0.7","13000","9000","0.7","pce",NA
"Alaska Power & Telephone Company","Coffman Cove","3705","1089","0.28999999999999998","4030","1182","0.28999999999999998","9615","2846","0.28999999999999998","pce",NA
"Alaska Power & Telephone Company","Craig","5765","1435","0.25","18724","4660","0.25","30197","7521","0.25","pce",NA
"Alaska Power & Telephone Company","Dot Lake, Dot Lake Village","4462","2154","0.48","7923","3846","0.48","21500","10333","0.48","pce",NA
"Alaska Power & Telephone Company","Eagle, Eagle Village","2778","1844","0.66","6778","4500","0.66","8087","5348","0.66","pce",NA
"Alaska Power & Telephone Company","Haines, Covenant Life","5243","1239","0.24","14429","3411","0.24","41615","9846","0.24","pce",NA
"Alaska Power & Telephone Company","Healy Lake","3833","3667","0.93","8000","7500","0.93","0","0","0.93","pce",NA
"Alaska Power & Telephone Company","Hollis","4863","1205","0.25","18800","4667","0.25","6250","1625","0.25","pce",NA
"Alaska Power & Telephone Company","Hydaburg","5623","1402","0.25","6974","1737","0.25","21625","5375","0.25","pce",NA
"Alaska Power & Telephone Company","Klawock","6196","1541","0.25","44241","11009","0.25","29314","7286","0.25","pce",NA
"Alaska Power & Telephone Company","Mentasta Lake","3057","2151","0.7","11889","8222","0.7","12500","8750","0.7","pce",NA
"Alaska Power & Telephone Company","Naukati Bay","4542","2627","0.57999999999999996","8429","4857","0.57999999999999996","0","0","0.57999999999999996","pce",NA
"Alaska Power & Telephone Company","Northway, Northway Village, Northway Junction","4250","2864","0.68","22810","15381","0.68","17684","11947","0.68","pce",NA
"Alaska Power & Telephone Company","Skagway","5180","1227","0.24","15735","3726","0.24","23278","5511","0.24","pce",NA
"Alaska Power & Telephone Company","Slana","3795","2654","0.7","6818","4727","0.7","20286","14143","0.7","pce",NA
"Alaska Power & Telephone Company","Tetlin","3930","1884","0.48","3600","1800","0.48","25500","12167","0.48","pce",NA
"Alaska Power & Telephone Company","Thorne Bay, Kasaan","4801","1192","0.25","10019","2486","0.25","16774","4170","0.25","pce",NA
"Alaska Power & Telephone Company","Tok, Tanacross","5374","2560","0.48","17074","8136","0.48","31500","15000","0.48","pce",NA
"Alaska Power & Telephone Company","Whale Pass","2790","1758","0.63","8375","5250","0.63","6000","3750","0.63","pce",NA
"Alaska Village Electric Cooperative","Alakanuk","4913","3100","0.63","16684","10526","0.63","44474","28053","0.63","pce",NA
"Alaska Village Electric Cooperative","Ambler","5106","3435","0.67","13182","8818","0.67","36421","24526","0.67","pce",NA
"Alaska Village Electric Cooperative","Anvik","3854","2512","0.65","9125","5875","0.65","8700","5650","0.65","pce",NA
"Alaska Village Electric Cooperative","Brevig Mission","5423","2969","0.55000000000000004","17889","9778","0.55000000000000004","27706","15176","0.55000000000000004","pce",NA
"Alaska Village Electric Cooperative","Chevak","5177","2675","0.52","23471","12118","0.52","42375","21875","0.52","pce",NA
"Alaska Village Electric Cooperative","Eek","3398","2330","0.69","12583","8667","0.69","17294","11824","0.69","pce",NA
"Alaska Village Electric Cooperative","Ekwok","4721","3465","0.74","9708","7167","0.74","3625","2625","0.74","pce",NA
"Alaska Village Electric Cooperative","Elim","4918","2898","0.59","20900","12300","0.59","20455","12045","0.59","pce",NA
"Alaska Village Electric Cooperative","Emmonak","5132","3023","0.59","25564","15077","0.59","39345","23172","0.59","pce",NA
"Alaska Village Electric Cooperative","Gambell","4503","2526","0.56000000000000005","22600","12667","0.56000000000000005","34619","19429","0.56000000000000005","pce",NA
"Alaska Village Electric Cooperative","Goodnews Bay","4869","3083","0.63","21250","13500","0.63","14800","9400","0.63","pce",NA
"Alaska Village Electric Cooperative","Grayling","3548","2274","0.64","15250","9750","0.64","14643","9357","0.64","pce",NA
"Alaska Village Electric Cooperative","Holy Cross","3988","2363","0.59","8000","4714","0.59","15063","8938","0.59","pce",NA
"Alaska Village Electric Cooperative","Hooper Bay","4630","2786","0.6","29889","18000","0.6","51500","30964","0.6","pce",NA
"Alaska Village Electric Cooperative","Huslia","5500","3260","0.59","4182","2455","0.59","18762","11095","0.59","pce",NA
"Alaska Village Electric Cooperative","Kalskag","4884","3130","0.64","9409","6045","0.64","35111","22444","0.64","pce",NA
"Alaska Village Electric Cooperative","Kaltag","3920","2227","0.56999999999999995","7214","4071","0.56999999999999995","17000","9684","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Kasigluk","5761","3325","0.57999999999999996","20300","11750","0.57999999999999996","36647","21176","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Kiana","5175","3483","0.67","17545","11818","0.67","33105","22263","0.67","pce",NA
"Alaska Village Electric Cooperative","Kivalina","5733","3837","0.67","21444","14333","0.67","28941","19353","0.67","pce",NA
"Alaska Village Electric Cooperative","Kotlik","5803","3752","0.65","28071","18143","0.65","39684","25684","0.65","pce",NA
"Alaska Village Electric Cooperative","Koyuk","5820","3494","0.6","15200","9133","0.6","23565","14130","0.6","pce",NA
"Alaska Village Electric Cooperative","Lower Kalskag","3417","2190","0.64","15750","10000","0.64","16778","10667","0.64","pce",NA
"Alaska Village Electric Cooperative","Marshall","5414","3144","0.57999999999999996","16714","9714","0.57999999999999996","28500","16538","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Mekoryuk","3359","1826","0.54","12231","6615","0.54","20905","11333","0.54","pce",NA
"Alaska Village Electric Cooperative","Minto","4054","2568","0.63","8333","5333","0.63","19769","12538","0.63","pce",NA
"Alaska Village Electric Cooperative","Mountain Village","5633","3444","0.61","29000","17706","0.61","40571","24821","0.61","pce",NA
"Alaska Village Electric Cooperative","New Stuyahok","5645","3564","0.63","10037","6333","0.63","27889","17611","0.63","pce",NA
