"Utility Name","Community Name","Residential Rate ($/kWh)","PCE reimbursment rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent PCE reimbursment","Source","PCE Community","Notes","AEA Energy Region","Census Region","Native Corporation Region","AKEPS Region"
"Akiachak Native Community","Akiachak","0.60499999999999998","0.38092500000000001","0.22407499999999997","0.62962809917355378","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akiak City Council","Akiak","0.63","0.33463333000000001","0.29536667","0.53116401587301587","PCE","YES","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akutan, City of","Akutan","0.32300000000000001","0.18395","0.13905000000000001","0.56950464396284828","PCE","YES","0","Aleutians","Aleutians East","Aleut","SW"
"Alaska Electric Light & Power Company","Juneau","0.12099","0","0.12099","0","EIA","NO","0","Southeast","Juneau","Sealaska","SE"
"Alaska Power & Telephone Company","Allakaket, Alatna","0.85897500000000004","0.66300000000000003","0.19597500000000001","0.77185017026106695","PCE","YES","Provides power to Alatna via intertie. Data includes Alatna's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Bettles, Evansville","0.63519999999999999","0.45052500000000001","0.18467499999999998","0.70926479848866497","PCE","YES","Provides power to Evansville via intertie. Data includes Evansville's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Chistochina","0.67158333000000003","0.48381667","0.18776666000000003","0.72041197032094284","PCE","YES","Receives power from Slana via intertie.","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Coffman Cove","0.46661667000000001","0.28821667000000001","0.1784","0.61767332487285553","PCE","YES","Part of the Alaska Power Company's grid on Prince of Wales Island.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Craig","0.24024166999999999","8.4058330000000001E-2","0.15618334","0.34989071629413832","PCE","YES","Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Dot Lake, Dot Lake Village","0.49041667","0.31230000000000002","0.17811666999999998","0.6368054332247719","PCE","YES","Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Eagle, Eagle Village","0.59460000000000002","0.41197499999999998","0.18262500000000004","0.69286074672048426","PCE","YES","Provides power to Eagle Village via intertie. Data includes Eagle Village's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Haines, Skagway","0.22019167000000001","6.6233330000000007E-2","0.15395834","0.30079852702874732","PCE","YES",NA,NA,NA,NA,NA
"Alaska Power & Telephone Company","Healy Lake","0.82661667000000005","0.59830000000000005","0.22831667","0.72379377493076691","PCE","YES","0","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
