"UtilityName","CommunityName","Residential kWh Use per Customer","Residential Revenue ($) per Customer","Residential $/kWh","Commercial kWh Use per Customer","Commercial Revenue ($) per Customer","Commercial $/kWh","Other kWh Use per Customer","Other Revenue ($) per Customer","Other $/kWh","Source","Notes","AEA Energy Region","Census Region","Native Corporation Region","AKEPS Region"
"Akiachak Native Community","Akiachak","3738.0876046328262","2261.5430008028598","0.60499999999999998","8260.6741573033723","4997.7078651685397","0.60499999999999998","32167.91011235955","19461.585617977526","3.1086881196418791E-2","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akiak City Council","Akiak","3115.75","1962.9225000000001","0.63","27778.584893900785","17500.508483157493","0.63","9518.0901015301151","5996.3967639639732","0.10506309452137266","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akutan, City of","Akutan","5028.8292682926822","1624.3118536585364","0.32300000000000001","11480.294117647059","3708.1349999999998","0.32300000000000001","5611.6470588235288","1812.5619999999999","0.17820080085536386","PCE","0","Aleutians","Aleutians East","Aleut","SW"
"Alaska Electric Light & Power Company","Juneau","10109.521745412512","1223.161392862303","0.12099102446832838","58399.35364727609","5873.037857802401","0.1005668297850474","45374.422899353645","4281.1634349030473","2.2038847793571494E-2","EIA","0","Southeast","Juneau","Sealaska","SE"
"Alaska Power & Telephone Company","Allakaket, Alatna","2871.6465103786613","2466.6725612525106","0.85897500000000004","8660.1252498609774","7438.8310864993337","0.85897500000000004","12051.927818764922","10352.304698123598","8.2974277230817323E-2","PCE","Provides power to Alatna via intertie. Data includes Alatna's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Bettles, Evansville","3873.333333333333","2460.3413333333328","0.63519999999999999","6192.5952460362059","3933.5365002821986","0.63519999999999999","33608.728383759611","21348.26426936411","2.9754175420787989E-2","PCE","Provides power to Evansville via intertie. Data includes Evansville's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Chistochina","3329.9999078200717","2236.3724269934974","0.67158333000000003","9689.7752422443828","6507.4915241380386","0.67158333000000003","4392.9001098225035","2950.1984841119624","0.22764004985317216","PCE","Receives power from Slana via intertie.","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Coffman Cove","3620.1441445164692","1689.2196056342736","0.46661667000000001","3799.5772297046224","1772.946074332596","0.46661667000000001","4800.6858240156771","2240.0800329184012","0.20830357091844021","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Craig","5830.7272033574964","1400.7836406490346","0.24024166999999999","19213.375081600345","4615.8533159400522","0.24024166999999999","7511.3554863298586","1804.5405859995474","0.13313176321103828","PCE","Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Dot Lake, Dot Lake Village","4099.7551020408164","2010.5882449583671","0.49041667","7110.1410091731523","3486.9316769491375","0.49041667","10377.529167587549","5089.3132971961568","9.6362051491344428E-2","PCE","Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Eagle, Eagle Village","2562.279245283019","1523.5312392452831","0.59460000000000002","5989.7948717948721","3561.5320307692309","0.59460000000000002","10936.76923076923","6503.0029846153848","9.1434680470958943E-2","PCE","Provides power to Eagle Village via intertie. Data includes Eagle Village's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Haines, Skagway",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCE",NA,NA,NA,NA,NA
"Alaska Power & Telephone Company","Healy Lake","3370.75","2786.3181404025004","0.82661667000000005","4565.3645984620098","3773.8064817165537","0.82661667000000005","1729.5529004811081","1429.6772591845349","0.57818410741980253","PCE","0","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Hollis","5028.2013131803469","1207.8996604587487","0.24022499999999997","20018.892048648002","4809.038342386466","0.24022499999999999","3502.265144632895","841.3316443694373","0.28552949554161161","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Hydaburg","5558.2104387105128","1335.2674025321876","0.24023332999999999","7978.7573466820768","1916.7634466553998","0.24023332999999999","11583.020740403927","2782.6276439263006","8.633326507927222E-2","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
