"UtilityName","CommunityName","Residential Revenue ($000)","Residential Sales (MWh)","Residential Customers (Accounts)","Residential $/kWh","Commercial Revenue ($000)","Commercial Sales  (MWh)","Commercial Customers (Accounts)","Commercial $/kWh","Other Revenue ($000)","Other Sales (MWh)","Other Customers (Accounts)","Other $/kWh","Total Revenue ($000)","Total Sales (MWh)","Total Customers (Accounts)","Total $/kWh","Source","Notes","AEA Energy Region","Census Region","Native Corporation Region","AKEPS Region"
"Akiachak Native Community","Akiachak","361.09303999999997","596.84799999999996","159.66667000000001","0.60499999999999998","111.199","183.8","22.25","0.60499999999999998","433.02027999999996","715.73599999999999","26.833333","0.60499999999999998","905.31232","1496.384","208.75000300000002","0.60499999999999998","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akiak City Council","Akiak","180.58887000000001","286.649","92","0.63","259.59087","412.04899999999998","14.833333","0.63","88.946550000000002","141.185","12.9166667","0.63","529.12629000000004","839.88300000000004","119.74999969999999","0.63","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Akutan, City of","Akutan","66.596785999999994","206.18199999999999","41","0.32300000000000001","63.038294999999998","195.16499999999999","17","0.32300000000000001","30.813554","95.397999999999996","11","0.32300000000000001","160.448635","496.745","69","0.32300000000000001","PCE","0","Aleutians","Aleutians East","Aleut","SW"
"Alaska Electric Light & Power Company","Juneau","16931","139936","13842","0.12099","12721","126493","2166","0.10057000000000001","9273","98281","94","9.4350000000000003E-2","38925","364710","16102","0.10672863370897426","EIA","0","Southeast","Juneau","Sealaska","SE"
"Alaska Power & Telephone Company","Allakaket, Alatna","186.02821575000002","216.57","75.416663999999997","0.85897500000000004","138.23828265","160.934","18.583334000000001","0.85897500000000004","192.38033587500001","223.965","16.833333","0.85897500000000004","516.64683427500006","601.46900000000005","110.833331","0.85897500000000004","PCE","Provides power to Alatna via intertie. Data includes Alatna's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Bettles, Evansville","81.19126399999999","127.82","33","0.63519999999999999","39.6631584","62.442","10.083333","0.63519999999999999","215.26165759999998","338.88799999999998","21.333334000000001","0.63519999999999999","336.11607999999995","529.15","64.41666699999999","0.63519999999999999","PCE","Provides power to Evansville via intertie. Data includes Evansville's information.","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Chistochina","107.71860821535002","160.39500000000001","48.166668000000001","0.67158333000000003","86.766551486010002","129.197","13.333333","0.67158333000000003","39.335978804760003","58.572000000000003","3","0.67158333000000003","233.82113850612004","348.16399999999999","64.500000999999997","0.67158333000000003","PCE","Receives power from Slana via intertie.","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Coffman Cove","250.14526430360999","536.08299999999997","148.08332999999999","0.46661667000000001","51.710925986070002","110.821","29.166665999999999","0.46661667000000001","65.335666133400011","140.02000000000001","13","0.46661667000000001","367.19185642308003","786.92399999999998","190.24999599999998","0.46661667000000001","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Craig","917.8634805352799","3820.5839999999998","655.25","0.24024166999999999","1353.2142996840698","5632.7209999999995","293.16665999999998","0.24024166999999999","529.03113643193001","2202.0790000000002","73.333334000000008","0.24024166999999999","2800.1089166512797","11655.384","1021.749994","0.24024166999999999","PCE","Provides power to Hollis, Klawock, Thorne Bay/Kasaan and Hydaburg via intertie.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Dot Lake, Dot Lake Village","49.259412001480001","100.444","24.5","0.49041667","49.398199919090004","100.727","14.166667","0.49041667","72.098606740049988","147.01499999999999","5.25","0.49041667","170.75621866061999","348.18599999999998","43.916667000000004","0.49041667","PCE","Receives power form Tok via intertie. Dot Lake's data includes Dot Lake Village's information. For fuel use and cost information, please refer to Tok.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Eagle, Eagle Village","201.86788920000001","339.50200000000001","132.5","0.59460000000000002","69.449874600000001","116.801","19.5","0.59460000000000002","126.80855820000001","213.267","24.416665999999999","0.59460000000000002","398.12632200000002","669.56999999999994","176.41666599999999","0.59460000000000002","PCE","Provides power to Eagle Village via intertie. Data includes Eagle Village's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Haines","1218.4475607035902","5533.5770000000002","1053.8334","0.22019167000000001","1076.9904867205","4891.1499999999996","328.58334000000002","0.22019167000000001","516.21118578124003","2344.3719999999998","49.25","0.22019167000000001","2811.6492332053303","12769.098999999998","1431.6667400000001","0.22019167000000001","PCE","Plant is also referred to as Lutak. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.","Southeast","Haines","Sealaska","SE"
"Alaska Power & Telephone Company","Skagway","670.31467771400003","3047.3420000000001","579.16666666666663","0.219967","1543.8993203590001","7018.777","435","0.219967","462.21687706699981","2101.3009999999999","88.083333333333371","0.219967","2676.4308751399999","12167.42","1102.25","0.219967","PCE","Plant is also referred to as Dewey Lake. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.","Southeast","Skagway","Sealaska","SE"
"Alaska Power & Telephone Company","Healy Lake","22.290545123220003","26.966000000000001","8","0.82661667000000005","26.731129874460002","32.338000000000001","7.0833335000000002","0.82661667000000005","10.12688082417","12.250999999999999","3.66666669","0.82661667000000005","59.14855582185001","71.555000000000007","18.750000190000002","0.82661667000000005","PCE","0","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Hollis","137.80122764999999","573.63400000000001","114.08334000000001","0.24022499999999999","66.525028800000001","276.928","13.833333","0.24022499999999999","11.6384208","48.448","8","0.24022499999999999","215.96467724999999","899.01","135.916673","0.24022499999999999","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Hydaburg","163.68153799552002","681.34400000000005","122.58334000000001","0.24023332999999999","67.885374624730005","282.58100000000002","35.416668000000001","0.24023332999999999","98.551399432560004","410.23200000000003","19.75","0.24023332999999999","330.11831205281004","1374.1570000000002","177.75000800000001","0.24023332999999999","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Klawock","551.87049197591","2297.2269999999999","368","0.24023332999999999","1196.44918809879","4980.3630000000003","113.83334000000001","0.24023332999999999","251.94014040422999","1048.731","35.083334000000001","0.24023332999999999","2000.2598204789301","8326.3209999999999","516.91667400000006","0.24023332999999999","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Mentasta Lake","98.399969421379993","146.41399999999999","47.25","0.67206666999999998","74.246565368249989","110.47499999999999","10.666667","0.67206666999999998","66.447903729570001","98.870999999999995","8","0.67206666999999998","239.09443851919997","355.76","65.916667000000004","0.67206666999999998","PCE","0","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Naukati Bay","163.54030830277","295.83100000000002","60.25","0.55281667000000001","31.704036024500002","57.35","7.3333335000000002","0.55281667000000001","39.736462239600002","71.88","1.00000003","0.55281667000000001","234.98080656687","425.06100000000004","68.58333352999999","0.55281667000000001","PCE","0","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
