"UtilityName","CommunityName","Residential Revenue ($000)","Residential Sales (MWh)","Residential Customers (Accounts)","Residential $/kWh","Commercial Revenue ($000)","Commercial Sales  (MWh)","Commercial Customers (Accounts)","Commercial $/kWh","Other Revenue ($000)","Other Sales (MWh)","Other Customers (Accounts)","Other $/kWh","Total Revenue ($000)","Total Sales (MWh)","Total Customers (Accounts)","Total $/kWh","Source","Notes","AEA Energy Region","Census Region","Native Corporation Region","AKEPS Region"
"Alaska Power & Telephone Company","Northway, Northway Village","237.94695462601999","357.80599999999998","87.416663999999997","0.66501666999999998","323.76935093953","486.85899999999998","20.416665999999999","0.66501666999999998","226.77467457001998","341.00599999999997","16.833333","0.66501666999999998","788.49098013557","1185.6709999999998","124.66666299999999","0.66501666999999998","PCE","Provides power to Northway Village via intertie. Data includes Northway Village's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Slana, Chistochina","192.06655021340001","285.98","79.833336000000003","0.67160832999999998","57.478255706389994","85.582999999999998","11","0.67160832999999998","106.5372293879","158.63","5.9166664999999998","0.67160832999999998","356.08203530769003","530.19299999999998","96.750002500000008","0.67160832999999998","PCE","Provides power to Chistochina via intertie. Includes Chistochina's fuel use and fuel cost.","Copper River/Chugach","Valdez-Cordova (CA)","Ahtna","YU"
"Alaska Power & Telephone Company","Tetlin","80.017630822810005","163.15700000000001","43.833331999999999","0.49043333","8.4099507428399995","17.148","4.75","0.49043333","74.720460425479999","152.35599999999999","6","0.49043333","163.14804199113001","332.661","54.583331999999999","0.49043333","PCE","Receives power from Tok via intertie. For fuel use and cost information please refer to Tok.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Dyon","YU"
"Alaska Power & Telephone Company","Thorne Bay, Kasaan","320.47604099999995","1334.2049999999999","284.75","0.2402","233.263024","971.12","103.83334000000001","0.2402","208.57670920000001","868.346","54.333331999999999","0.2402","762.31577419999996","3173.6709999999998","442.91667200000001","0.2402","PCE","Part of the Alaska Power Company's grid on Prince of Wales Island. Receives power from Craig. Refer to Craig for fuel use and cost. Includes data for Kaasan.","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Power & Telephone Company","Tok, Tanacross","1980.1717356906602","4037.8020000000001","749","0.49040833","1401.26529927552","2857.3440000000001","172.25","0.49040833","796.96502912464996","1625.105","48","0.49040833","4178.4020640908302","8520.2510000000002","969.25","0.49040833","PCE","Provides power to Tanacross, Tetlin and Dot Lake via intertie. Includes Tanacross' information. Fuel use and cost also includes Tetlin's and Dot Lake's information.","Yukon-Koyukuk/Upper Tanana","Southeast Fairbanks (CA)","Doyon","YU"
"Alaska Power & Telephone Company","Whale Pass","95.66500520000001","159.56800000000001","59.5","0.59952499999999997","33.669323999999996","56.16","8.5","0.59952499999999997","8.0694430095325007","13.459727300000001","4.6666667000000004","0.59952499999999997","137.40377220953252","229.18772730000001","72.666666700000007","0.59952499999999997","PCE","0","Southeast","Prince of Wales-Hyder (CA)","Sealaska","SE"
"Alaska Village Electric Cooperative","Alakanuk","459.27950264999998","774.56700000000001","145","0.59294999999999998","135.73123577999999","228.9084","17.75","0.59294999999999998","549.51522660000001","926.74800000000005","18.750000499999999","0.59294999999999998","1144.52596503","1930.2234000000001","181.5000005","0.59294999999999998","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Ambler","264.89135096885997","419.34199999999998","87.833336000000003","0.63168332999999999","75.140627153490001","118.953","11.25","0.63168332999999999","445.19588226741001","704.77700000000004","19.416666499999998","0.63168332999999999","785.22786038976005","1243.0720000000001","118.50000249999999","0.63168332999999999","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Anvik","94.528664666520001","159.95599999999999","56.666668000000001","0.59096667000000003","33.050401986420006","55.926000000000002","8.5","0.59096667000000003","102.05698907564999","172.69499999999999","21.25","0.59096667000000003","229.63605572859001","388.577","86.416668000000001","0.59096667000000003","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Brevig Mission","270.09819441377999","504.13400000000001","103.41665999999999","0.53576667","73.181440988640006","136.59200000000001","7.4166664999999998","0.53576667","270.51716394971999","504.916","19.499999500000001","0.53576667","613.79679935213994","1145.6420000000001","130.333326","0.53576667","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Chevak","494.60851620481003","1021.057","182.41667000000001","0.48440833","183.7167032358","379.26","17","0.48440833","449.87050047933002","928.70100000000002","22","0.48440833","1128.1957199199401","2329.018","221.41667000000001","0.48440833","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Eek","209.92036712500001","347.79500000000002","97.583336000000003","0.60357499999999997","85.637635299999985","141.88399999999999","12.333333","0.60357499999999997","171.21189522500001","283.66300000000001","17.416667","0.60357499999999997","466.76989764999996","773.34199999999998","127.333336","0.60357499999999997","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Ekwok","75.986324225999994","102.58717999999999","43.015152","0.74070000000000003","86.077961748000007","116.21164","23.469695999999999","0.74070000000000003","24.840182307419997","33.536090599999994","5.7575757000000003","0.74070000000000003","186.90446828142001","252.33491059999997","72.242423700000003","0.74070000000000003","PCE","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Alaska Village Electric Cooperative","Elim","271.50000415","462.16699999999997","103.08334000000001","0.58745000000000003","136.47873380000001","232.32400000000001","12.5","0.58745000000000003","244.66587560000002","416.488","22","0.58745000000000003","652.64461355000003","1110.979","137.58334000000002","0.58745000000000003","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Emmonak","596.33566980000001","1082.328","198.16667000000001","0.55097499999999999","453.87667575","823.77","32.916668000000001","0.55097499999999999","634.48958660000005","1151.576","29.666667","0.55097499999999999","1684.7019321500002","3057.674","260.75000500000004","0.55097499999999999","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Gambell","374.16600267728001","716.81600000000003","154.83332999999999","0.52198332999999997","173.78025617359","332.923","13.666667","0.52198332999999997","379.23289486159001","726.52300000000002","20.166665999999999","0.52198332999999997","927.17915371245999","1776.2620000000002","188.66666299999997","0.52198332999999997","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Goodnews Bay","217.59727320000002","368.93400000000003","80.083336000000003","0.58979999999999999","80.132103564000005","135.86318","8.3863640000000004","0.58979999999999999","152.69096280000002","258.88600000000002","17.666667","0.58979999999999999","450.42033956400002","763.68317999999999","106.13636700000001","0.58979999999999999","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Grayling","116.95493483106999","210.679","81.666663999999997","0.55513332999999998","59.35652104359","106.923","11","0.55513332999999998","127.60960883376001","229.87200000000001","15.5","0.55513332999999998","303.92106470841998","547.47399999999993","108.166664","0.55513332999999998","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Holy Cross","169.73344839430004","318.29000000000002","79.916663999999997","0.53326667000000005","25.625596560180004","48.054000000000002","7.1666664999999998","0.53326667000000005","126.20395665554001","236.66200000000001","16.749999500000001","0.53326667000000005","321.56300161002008","603.00600000000009","103.83333","0.53326667000000005","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Hooper Bay","611.11761810000007","1181.2460000000001","244.33332999999999","0.51734999999999998","297.03546779999999","574.14800000000002","18.75","0.51734999999999998","633.40764284999989","1224.3309999999999","27.416667","0.51734999999999998","1541.56072875","2979.7250000000004","290.49999700000001","0.51734999999999998","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Huslia","293.21707396344999","539.03499999999997","90.25","0.54396666999999999","30.54808025386","56.158000000000001","9","0.54396666999999999","215.89057992293999","396.88200000000001","21.749999500000001","0.54396666999999999","539.65573414024993","992.07500000000005","120.9999995","0.54396666999999999","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Kalskag, Lower Kalskag","200.29327185","345.363","74.833336000000003","0.57994999999999997","96.563994799999989","166.50399999999999","11.681818","0.57994999999999997","247.43645623199998","426.65136000000001","21.416667","0.57994999999999997","544.293722882","938.51836000000003","107.931821","0.57994999999999997","PCE","Provides power to Lower Kalskag via intertie. Fuel use and cost data includes information for Lower Kalskag.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Kaltag","154.09342257126997","296.38099999999997","76.25","0.51991666999999997","32.483353708259997","62.478000000000002","14.666667","0.51991666999999997","169.82454125545999","326.63799999999998","19.083333","0.51991666999999997","356.40131753498997","685.49699999999996","110","0.51991666999999997","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Kasigluk, Nunapitchuk","324.03442525834998","609.995","124.75","0.53120833000000001","198.51255292100001","373.7","18.916665999999999","0.53120833000000001","303.89100538475003","572.07500000000005","19.833333","0.53120833000000001","826.43798356410002","1555.77","163.499999","0.53120833000000001","PCE","Provides power to Nunapitchuk via intertie.  Fuel use and cost includes Nunapitchuk's information.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Kiana","390.93329600000004","599.93600000000004","123.75","0.65162500000000001","126.72151375","194.47","12.416667","0.65162500000000001","418.92189300000001","642.88800000000003","18.666666499999998","0.65162500000000001","936.57670275000009","1437.2940000000001","154.83333349999998","0.65162500000000001","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Kivalina","310.91915888890998","486.673","84.5","0.63886666999999997","113.19056339058","177.17400000000001","10.166667","0.63886666999999997","314.02916183846997","491.541","17.5","0.63886666999999997","738.13888411795995","1155.3879999999999","112.166667","0.63886666999999997","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Kotlik","436.40659425000001","745.03899999999999","131.66667000000001","0.58574999999999999","173.75980874999999","296.64499999999998","13.583333","0.58574999999999999","464.66141699999997","793.27599999999995","19.5","0.58574999999999999","1074.82782","1834.96","164.75000300000002","0.58574999999999999","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Koyuk","276.19662012831003","501.50700000000001","90.75","0.55073333000000002","132.67110846367001","240.899","19.333334000000001","0.55073333000000002","293.64164908939","533.18299999999999","20.75","0.55073333000000002","702.5093776813701","1275.5889999999999","130.83333400000001","0.55073333000000002","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Lower Kalskag","178.62054035","307.99299999999999","83.666663999999997","0.57994999999999997","34.629500000899995","59.711182000000001","4.5","0.57994999999999997","96.702075675450004","166.74209100000002","8.8333332999999996","0.57994999999999997","309.95211602635004","534.44627300000002","96.99999729999999","0.57994999999999997","PCE","Receives power from (Upper) Kalskag via intertie. For fuel use and cost, please refer to (Upper) Kalskag.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Marshall","286.82248259999994","569.06399999999996","111.83334000000001","0.50402499999999995","104.34829574999999","207.03","13.916667","0.50402499999999995","412.36956582499994","818.15300000000002","24.666667","0.50402499999999995","803.54034417499986","1594.2469999999998","150.416674","0.50402499999999995","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Mekoryuk","178.00875011510999","325.46699999999998","102","0.54693333","93.926802374221495","171.73354999999998","18.878788","0.54693333","211.47286591116","386.65199999999999","26.666667","0.54693333","483.40841840049148","883.85254999999995","147.545455","0.54693333","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Minto","179.94974312499997","305.32299999999998","86","0.58937499999999998","29.536528125","50.115000000000002","12.25","0.58937499999999998","155.514255625","263.863","12.333333","0.58937499999999998","365.00052687499999","619.30099999999993","110.583333","0.58937499999999998","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Mountain Village","563.31099016837993","1035.5139999999999","180.66667000000001","0.54399167000000004","266.34865747373004","489.61900000000003","15.583333","0.54399167000000004","633.79218290859001","1165.077","27.916667","0.54399167000000004","1463.4518305506999","2690.21","224.16667000000001","0.54399167000000004","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","New Stuyahok","386.80405246495002","623.01499999999999","109.5","0.62085833000000001","185.36222128814001","298.55799999999999","27.833334000000001","0.62085833000000001","314.45418955338999","506.483","16.083333500000002","0.62085833000000001","886.62046330648013","1428.056","153.41666750000002","0.62085833000000001","PCE","0","Bristol Bay","Dillingham (CA)","Bristol Bay","SW"
"Alaska Village Electric Cooperative","Nightmute","148.85906363999999","287.40600000000001","78.416663999999997","0.51793999999999996","57.695926299999996","111.395","12.083333","0.51793999999999996","103.27878981999999","199.40299999999999","16.249999500000001","0.51793999999999996","309.83377975999997","598.20399999999995","106.74999649999999","0.51793999999999996","PCE","Receives power from Toksook Bay via intertie. For fuel use and cost, please refer to Toksook Bay.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Noatak","594.50408728866012","803.40200000000004","122.25","0.73998333000000005","164.47239484245","222.26499999999999","10.166667","0.73998333000000005","532.92563449938007","720.18600000000004","14.5","0.73998333000000005","1291.9021166304901","1745.8530000000001","146.91666699999999","0.73998333000000005","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Noorvik","576.37231735359001","938.577","141.16667000000001","0.61409166999999998","120.86982113108999","196.827","9.8333329999999997","0.61409166999999998","495.89437581674997","807.52499999999998","19.416667","0.61409166999999998","1193.13651430143","1942.9290000000001","170.41667000000001","0.61409166999999998","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Nulato","274.91696999999994","516.27599999999995","111.5","0.53249999999999997","26.134035000000001","49.078000000000003","6.5833335000000002","0.53249999999999997","292.38544079999997","549.08064000000002","27.000000499999999","0.53249999999999997","593.43644579999989","1114.4346399999999","145.08333399999998","0.53249999999999997","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Nunapitchuk","341.00519142000002","637.83399999999995","138.08332999999999","0.53463000000000005","101.2321905","189.35","21","0.53463000000000005","188.00424339000003","351.65300000000002","17.75","0.53463000000000005","630.24162531000002","1178.837","176.83332999999999","0.53463000000000005","PCE","Receives power from Kasigluk. Please refer to Kasigluk for fuel use and cost.","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Old Harbor","215.16299122500001","373.40100000000001","101.41665999999999","0.57622499999999999","51.322055849999998","89.066000000000003","13.25","0.57622499999999999","168.93822172499998","293.18099999999998","16.333333500000002","0.57622499999999999","435.42326879999996","755.64799999999991","130.99999349999999","0.57622499999999999","PCE","0","Kodiak","Kodiak Island","Koniag","SC"
"Alaska Village Electric Cooperative","Pilot Station","387.19458934065","722.80499999999995","133.41667000000001","0.53568333000000001","126.94784259339001","236.983","13.25","0.53568333000000001","388.73414323106999","725.67899999999997","19.583333500000002","0.53568333000000001","902.87657516511001","1685.4670000000001","166.25000350000002","0.53568333000000001","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Pitkas Point","68.191079860000002","137.374","43.75","0.49639","33.390169740000005","67.266000000000005","7.4166664999999998","0.49639","87.189414329999991","175.64699999999999","7.5833335000000002","0.49639","188.77066393000001","380.28699999999998","58.75","0.49639","PCE","Receives power from Saint Mary's via intertie. For fuel use and cost, please refer to Saint Mary's.","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Quinhagak","430.87088600955002","802.86500000000001","164.25","0.53666667000000001","215.90797800771","402.31299999999999","17.25","0.53666667000000001","284.00936843070002","529.21","18.249999500000001","0.53666667000000001","930.78823244796013","1734.3879999999999","199.7499995","0.53666667000000001","PCE","0","Lower Yukon-Kuskokwim","Bethel (CA)","Calista","SW"
"Alaska Village Electric Cooperative","Russian Mission","208.83417462401999","382.20600000000002","83.416663999999997","0.54639167","49.442435826630003","90.489000000000004","13.25","0.54639167","333.15467129911997","609.73599999999999","14.916667","0.54639167","591.43128174976994","1082.431","111.583331","0.54639167","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Saint Mary's, Andreafsky, Pitkas Point","408.54525071705001","827.61500000000001","186.41667000000001","0.49364166999999998","402.59193217684998","815.55499999999995","34.166668000000001","0.49364166999999998","523.19500949956","1059.8679999999999","28.75","0.49364166999999998","1334.33219239346","2703.038","249.33333800000003","0.49364166999999998","PCE","Provides power to Andreafsky and Pitkas Point via intertie. Includes Andreafsky's information. Fuel use and cost also includes Pitkas Point.","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Saint Michael","347.93150722918","628.75400000000002","103.16665999999999","0.55336666999999995","205.35271113698997","371.09699999999998","12.166667","0.55336666999999995","378.13204661110001","683.33","18","0.55336666999999995","931.41626497726998","1683.181","133.333327","0.55336666999999995","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Savoonga","429.20187605218001","874.346","156.66667000000001","0.49088333000000001","174.08490061788001","354.63600000000002","13.25","0.49088333000000001","427.61092317965","871.10500000000002","26.083333","0.49088333000000001","1030.8976998497101","2100.087","196.00000300000002","0.49088333000000001","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
"Alaska Village Electric Cooperative","Scammon Bay","340.44664610000001","601.01800000000003","110.33334000000001","0.56645000000000001","130.62960095","230.61099999999999","18.916665999999999","0.56645000000000001","479.6030189","846.68200000000002","19.583334000000001","0.56645000000000001","950.67926594999994","1678.3110000000001","148.83334000000002","0.56645000000000001","PCE","0","Lower Yukon-Kuskokwim","Wade Hampton (CA)","Calista","YU"
"Alaska Village Electric Cooperative","Selawik","624.05189208722993","1086.3309999999999","164.5","0.57445833000000002","222.27918283521001","386.93700000000001","22.722221000000001","0.57445833000000002","719.76641565684008","1252.9480000000001","29.166667","0.57445833000000002","1566.09749057928","2726.2160000000003","216.38888799999998","0.57445833000000002","PCE","0","Northwest Arctic","Northwest Arctic","NANA","AN"
"Alaska Village Electric Cooperative","Shageluk","68.981021549999994","114.95399999999999","50.75","0.60007500000000003","55.764969750000006","92.93","7.5833335000000002","0.60007500000000003","82.570920075000004","137.601","10.6666668","0.60007500000000003","207.31691137500002","345.48500000000001","69.000000299999996","0.60007500000000003","PCE","0","Yukon-Koyukuk/Upper Tanana","Yukon-Koyukuk (CA)","Doyon","YU"
"Alaska Village Electric Cooperative","Shaktoolik","226.33044465329004","393.48700000000002","75.083336000000003","0.57519167000000004","126.57725409187002","220.06100000000001","11.5","0.57519167000000004","156.72017355822001","272.46600000000001","14.5","0.57519167000000004","509.62787230338006","886.01400000000001","101.083336","0.57519167000000004","PCE","0","Bering Straits","Nome (CA)","Bering Straits","AN"
