"AEA Reporting ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Source","Number of monthly records","Communities reported","Notes"
"SR-89","332070","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","5323.8163265306111","1597.1448979591828","0.29999999999999993","8060.5858585858596","2418.175757575757","0.29999999999999993","25584.499999999996","7675.3499999999976","291.66329999999988","PCE","12","King Cove",NA
"SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","4692.0380622837374","2643.1814417531718","0.56333333333333335","14197.524271844659","7997.9386731391569","0.56333333333333335","18357.558139534885","10341.424418604651","444.68125000000003","PCE","12","Sand Point","PCE revenue assumes all kWh are at residential rate"
"SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","3254.5999999999995","2156.1724999999992","0.66249999999999998","9007.1428571428569","5967.2321428571422","0.66249999999999998","10910.333333333332","7228.0958333333319","43.368574999999993","PCE","12","Nikolski","PCE revenue assumes all kWh are at residential rate"
"SR-24","331750","291","Andreanof Electric Corp","Atka","Atka_grid","Aleutians","5458.0666666666675","3984.3886666666676","0.73000000000000009","30721.800000000003","22426.914000000004","0.73000000000000009","13088.125000000002","9554.3312500000029","76.434650000000019","PCE","12","Atka","PCE revenue assumes all kWh are at residential rate"
"SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","4220.7804878048773","1350.6497560975606","0.31999999999999995","11257.499999999998","3602.3999999999987","0.31999999999999995","10746.266666666666","3438.8053333333332","51.582079999999998","PCE","8","Akutan","PCE revenue assumes all kWh are at residential rate"
"SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","4019.0312500000005","3375.9862499999999","0.84","4938.105263157895","4148.0084210526311","0.84","6864.1428571428569","5765.88","40.361159999999998","PCE","12","Nelson Lagoon","PCE revenue assumes all kWh are at residential rate"
"SR-185","332860","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","5185.2667597765367","2445.7174883612661","0.47166666666666668","198076.40211640214","93426.036331569674","0.47166666666666673","45062.276315789466","21254.373662280697","1615.3323983333332","PCE","12","Unalaska","PCE revenue assumes all kWh are at residential rate"
"SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","3875.4615384615386","3875.4615384615386","1","7967.5384615384628","7967.5384615384628","1","10951.476190476191","10951.476190476191","229.98100000000002","PCE","12","Saint George","PCE revenue assumes all kWh are at residential rate"
"SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","5115.4899328859065","2672.8434899328868","0.52250000000000008","41340.909090909096","21600.625","0.52250000000000008","29055.979166666672","15181.749114583339","728.72395750000021","PCE","12","Saint Paul","PCE revenue assumes all kWh are at residential rate"
"SR-48","331980","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","4498.8947368421059","3205.4624999999996","0.71249999999999991","30076.541666666672","21429.535937500001","0.71249999999999991","22597.41071428571","16100.655133928569","901.63668749999988","PCE","12","Cold Bay","PCE revenue assumes all kWh are at residential rate"
"SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","2101.6273291925463","3035.100134575569","1.4441666666666666","4147.3294117647056","5989.4348921568626","1.4441666666666666","19696.888888888891","28445.59037037037","768.03093999999999","PCE","12","Adak","PCE revenue assumes all kWh are at residential rate"
"SR-63","331970","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","4559.8214285714294","1915.125","0.42","23757.176470588234","9978.014117647057","0.42","6557.8571428571431","2754.3","38.560200000000002","PCE","12","False Pass","PCE revenue assumes all kWh are at residential rate"
"SR-184","332850","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","5143.4826388888896","2254.5598900462965","0.43833333333333324","42898.043478260865","18803.642391304347","0.43833333333333335","22056.032258064519","9667.8941397849467","299.70471833333335","PCE","12","Unalakleet","PCE revenue assumes all kWh are at residential rate"
"SR-190","332890","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","3356.958333333333","2081.3141666666666","0.62","13060.807692307691","8097.7007692307679","0.62","9798.1666666666661","6074.8633333333328","72.898359999999997","PCE","12","White Mountain","PCE revenue assumes all kWh are at residential rate"
"SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","5058.9148936170213","3119.6641843971629","0.61666666666666659","12456.473684210527","7681.4921052631571","0.61666666666666659","18325.12","11300.490666666665","282.51226666666662","PCE","12","Koyuk","PCE revenue assumes all kWh are at residential rate"
"SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","5451.6923076923076","3352.7907692307695","0.61499999999999999","14125.15625","8686.9710937500004","0.61499999999999999","30843.499999999996","18968.752499999999","379.37504999999993","PCE","3","Saint Michael","PCE revenue assumes all kWh are at residential rate"
"SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","5059.9942528735637","2766.1301915708818","0.54666666666666675","21558.529411764706","11785.329411764709","0.54666666666666675","24416.617647058822","13347.750980392158","453.82353333333339","PCE","12","Savoonga","PCE revenue assumes all kWh are at residential rate"
"SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","5875.0416666666661","3201.8977083333325","0.54499999999999993","16221.785714285712","8840.8732142857116","0.54499999999999993","16293.04347826087","8879.7086956521725","204.23329999999999","PCE","12","Shaktoolik","PCE revenue assumes all kWh are at residential rate"
"SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","4774.4645161290327","2960.1680000000006","0.62","14634.115384615387","9073.1515384615395","0.62","15192.666666666668","9419.4533333333347","310.84196000000003","PCE","12","Shishmaref","PCE revenue assumes all kWh are at residential rate"
"SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","4296.22","2606.3734666666674","0.6066666666666668","13052.479999999998","7918.5045333333337","0.6066666666666668","14707.03125","8922.2656250000018","285.51250000000005","PCE","12","Stebbins","PCE revenue assumes all kWh are at residential rate"
"SR-188","331730","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","3708.9272727272728","2552.9782727272723","0.68833333333333313","7413.2941176470586","5102.8174509803903","0.68833333333333313","12884.222222222223","8868.6396296296261","159.63551333333328","PCE","12","Wales","PCE revenue assumes all kWh are at residential rate"
"SR-31","331270","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","4914.9583333333339","2891.6338194444447","0.58833333333333337","7860.3076923076915","4624.4810256410256","0.58833333333333337","18913.560000000001","11127.477800000001","278.18694500000004","PCE","12","Brevig Mission","PCE revenue assumes all kWh are at residential rate"
